symbol,accuracy,accuracy_std,win_rate,win_rate_std,precision_bullish,precision_bullish_std,recall_bullish,recall_bullish_std,profit_factor,profit_factor_std,sample_count,sample_count_std,n_windows
ULTRACEMCO,51.067323481116595,1.8284940436223371,38.00790586504872,33.097453810572816,51.85290064989313,4.903009533505134,47.273882882643946,19.92926817287711,inf,,87.0,0.0,7
BERGEPAINT,50.93795093795094,4.824892784213704,22.22222222222222,37.08990935094579,49.78384060671096,5.743062362239141,41.227956800589254,17.64678201628462,inf,,99.0,0.0,7
DRREDDY,50.90311986863711,5.166546050099268,12.517006802721088,16.117712212118025,49.949693163978885,5.5841981799763865,50.454975241048,25.06924539386927,1.2441934559896521,1.2463588617191426,87.0,0.0,7
COALINDIA,50.90311986863711,3.8228068068383627,49.744897959183675,46.295222271466784,55.96613113330438,8.441205579842823,55.20175314522384,34.40679418359674,2.360405570367402,2.9676139767522134,87.0,0.0,7
M&M,50.90311986863711,5.8838991353592505,21.978021978021978,26.269684139595338,54.032387365720695,13.309263897733059,48.35819718538971,31.43586484622002,inf,,87.0,0.0,7
BAJAJ-AUTO,50.90311986863711,6.135153265113105,56.603708791208796,26.472091821621433,51.783184640953365,7.071920751306833,73.20208133733585,15.397795977555944,0.984891318858515,0.3620238176719402,87.0,0.0,7
OFSS,50.90311986863711,7.617348771588307,4.761904761904761,11.664236870396085,49.627125532567106,10.807144331742188,39.19061485812666,23.803813371037496,inf,,87.0,0.0,7
FEDERALBNK,50.9031198686371,6.806036708066569,47.7891156462585,34.68137029456615,53.76414187005931,8.077441486273257,49.12780106976935,29.7465101968131,inf,,87.0,0.0,7
BPCL,50.738916256157644,6.278507157407279,5.357142857142857,13.122266479195595,53.32241551664252,9.901464676323709,32.78174355950692,31.19192840677601,inf,,87.0,0.0,7
GRASIM,50.73891625615763,4.406045275861653,40.42207792207792,38.097159657361715,62.0556327105595,21.13256202296046,52.281992888688656,34.99448388660689,inf,,87.0,0.0,7
SHRIRAMFIN,50.57471264367816,5.79617819202719,42.857142857142854,41.649656391752146,54.25994068042771,5.497785286308807,46.252564229356686,21.60249103564509,2.9184364249656363,1.673542071620189,87.0,0.0,7
AMBUJACEM,50.410509031198686,4.186387121176341,31.060606060606062,21.285432991017874,51.362505985808184,8.18865231752086,56.65588721264664,16.81723268316548,1.06982960357731,0.45477235582148345,87.0,0.0,7
INFY,50.24630541871922,4.243956644768502,38.57142857142857,42.233558568841374,52.63317720490931,7.98875713804816,61.38148938764534,26.379239161545506,1.0125287697316052,0.7024006560027728,87.0,0.0,7
BANDHANBNK,50.24630541871922,2.5858810752091332,49.906730296059784,37.97460313360091,48.274961160140904,8.394680389862982,56.068847434701084,34.292138082819015,0.8764554850480444,0.41698606592888177,87.0,0.0,7
ONGC,50.24630541871921,3.459984812102707,28.88198757763975,25.022654755880353,57.702108621226266,18.100639403194393,42.288162258427874,31.201582537818535,0.799470275159366,0.5156130300527304,87.0,0.0,7
EXIDEIND,50.24630541871921,2.796286759593826,41.3292589763178,41.693316838477884,47.912431035465836,17.365801430487533,42.75123477191147,23.06916448256409,1.8997842536184544,1.9764908241041712,87.0,0.0,7
ABB,50.21645021645021,4.47563128983285,43.45238095238095,42.483490190608286,52.471068345557214,4.614715320458296,65.04061169675177,24.542203580929073,1.907615119396777,1.5189870426112841,99.0,0.0,7
RELIANCE,50.08210180623974,4.550543993612812,25.238095238095237,29.485382057928987,50.873895443443004,8.53487379476444,45.43539195313239,17.55976162884837,1.1519558832750838,0.6130113159979711,87.0,0.0,7
SBIN,50.082101806239734,4.022150644964169,43.622448979591844,32.69837633386979,46.75510694934858,19.701012279617135,58.24317401793038,33.26776713958367,1.2651180644421918,0.8644113323458393,87.0,0.0,7
AUROPHARMA,49.917898193760266,3.7802510453928875,2.857142857142857,6.998542122237652,45.78773538400868,8.089585941503454,26.603424138754388,18.876350137182975,3.287423660309389,5.330419982756923,87.0,0.0,7
MANAPPURAM,49.917898193760266,2.3681781776446584,15.64625850340136,25.544195041521885,51.71008205542103,10.203603282172388,33.356979477800145,23.64350955258674,0.7502461959678524,0.8235567060291258,87.0,0.0,7
