symbol,oos_accuracy,tradeable,cross_sectional_top15,sharpe_rank,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
SBILIFE,0.5095,False,False,30,35,-0.0336,-0.2182,0.5714,1.29,-1.901,0.904,-0.82,0.1011,-0.332,0.5095,0.5714,2024-04-19 → 2026-04-21
BAJFINANCE,0.524,False,False,31,34,-0.0378,-0.2482,0.5,1.601,-1.789,0.895,-0.978,0.1292,-0.292,0.5061,0.5,2024-05-09 → 2026-04-21
SHREECEM,0.5008,False,False,32,28,-0.0267,-0.2162,0.5357,1.158,-1.513,0.883,-1.003,0.1145,-0.233,0.4847,0.5714,2024-03-18 → 2026-04-21
VEDL,0.5648,False,False,33,45,-0.0925,-0.4194,0.5333,1.901,-2.536,0.857,-1.023,0.2835,-0.326,0.5608,0.5333,2024-05-07 → 2026-04-21
SAIL,0.5375,False,False,34,67,-0.1446,-0.4443,0.4478,2.188,-2.128,0.834,-1.266,0.3281,-0.441,0.4986,0.4627,2024-04-16 → 2026-04-21
GODREJPROP,0.5046,False,False,35,12,-0.0185,-0.3247,0.5833,1.385,-2.265,0.856,-1.285,0.0773,-0.24,0.5096,0.5833,2024-01-05 → 2026-04-21
ICICIBANK,0.5044,False,False,36,56,-0.088,-0.3393,0.5536,1.183,-1.792,0.818,-1.405,0.1359,-0.647,0.5309,0.5714,2024-02-19 → 2026-04-21
ADANIENT,0.5028,False,False,37,49,-0.1827,-0.6457,0.6531,1.585,-3.927,0.76,-1.432,0.326,-0.56,0.4706,0.6531,2023-12-27 → 2026-04-21
TATAPOWER,0.4972,False,False,38,47,-0.1407,-0.5564,0.5319,1.933,-2.781,0.79,-1.548,0.2855,-0.493,0.5351,0.5319,2023-11-13 → 2026-04-16
LUPIN,0.51,False,False,39,39,-0.0493,-0.2788,0.5385,1.025,-1.453,0.823,-1.56,0.0672,-0.733,0.5335,0.5641,2024-04-03 → 2026-04-10
NAUKRI,0.4708,False,False,40,25,-0.0441,-0.3654,0.52,1.257,-1.701,0.8,-1.605,0.1063,-0.415,0.4801,0.52,2024-02-12 → 2026-04-21
DLF,0.5046,False,False,41,52,-0.1274,-0.4835,0.5385,1.563,-2.329,0.783,-1.716,0.2366,-0.539,0.5133,0.5385,2023-11-30 → 2026-04-21
TITAN,0.5148,False,False,42,62,-0.1173,-0.3977,0.4677,1.279,-1.47,0.765,-1.793,0.1624,-0.722,0.5027,0.4677,2024-01-09 → 2026-04-21
HINDALCO,0.4924,False,False,42,56,-0.1377,-0.4867,0.4821,1.606,-1.953,0.766,-1.793,0.2108,-0.653,0.5462,0.5179,2024-03-28 → 2026-04-21
VOLTAS,0.5055,False,False,43,44,-0.1314,-0.5537,0.5682,1.395,-2.504,0.733,-2.01,0.174,-0.755,0.5342,0.5909,2024-02-13 → 2026-04-21
OFSS,0.4958,False,False,44,51,-0.1515,-0.5559,0.4706,1.885,-2.227,0.752,-2.073,0.2293,-0.661,0.4726,0.4706,2024-06-26 → 2026-04-21
HAVELLS,0.505,False,False,45,19,-0.0439,-0.4489,0.5789,0.968,-1.852,0.719,-2.133,0.0711,-0.618,0.5224,0.5789,2023-12-13 → 2026-04-21
MARICO,0.4948,False,False,46,16,-0.0397,-0.472,0.4375,1.487,-1.575,0.734,-2.208,0.0853,-0.466,0.5048,0.5,2024-05-07 → 2026-04-21
HINDUNILVR,0.5252,False,False,47,88,-0.1538,-0.3801,0.5114,0.927,-1.337,0.726,-2.254,0.1889,-0.814,0.4752,0.5114,2024-05-13 → 2026-04-21
ONGC,0.5127,False,False,48,23,-0.1506,-0.8328,0.4783,2.11,-3.096,0.625,-2.314,0.1982,-0.76,0.4928,0.5217,2024-04-02 → 2026-04-16
M&M,0.5,False,False,49,46,-0.6219,-0.9951,0.5,1.983,-4.776,0.415,-2.486,0.6522,-0.953,0.5375,0.5,2024-05-13 → 2026-04-21
SUNPHARMA,0.5406,False,False,50,41,-0.0741,-0.3771,0.5366,0.792,-1.304,0.703,-2.515,0.1124,-0.66,0.5222,0.561,2024-03-13 → 2026-04-16
TORNTPHARM,0.5034,False,False,51,24,-0.069,-0.5278,0.4583,1.476,-1.765,0.707,-2.596,0.1377,-0.501,0.5327,0.4583,2024-04-03 → 2026-04-21
BAJAJ-AUTO,0.5112,False,False,52,63,-0.2128,-0.616,0.4603,1.268,-1.734,0.624,-2.642,0.2316,-0.919,0.519,0.4762,2024-05-17 → 2026-04-21
ULTRACEMCO,0.5093,False,False,53,27,-0.053,-0.3982,0.4444,1.101,-1.228,0.717,-2.679,0.1148,-0.461,0.5047,0.4444,2024-05-03 → 2026-04-21
POWERGRID,0.495,False,False,54,46,-0.1213,-0.5076,0.5217,1.048,-1.699,0.673,-2.68,0.1784,-0.68,0.5153,0.5217,2024-03-22 → 2026-04-16
MUTHOOTFIN,0.5048,False,False,55,20,-0.0751,-0.6262,0.5,1.511,-2.239,0.675,-2.703,0.1119,-0.671,0.5664,0.5,2024-04-25 → 2026-04-21
PIDILITIND,0.5126,False,False,56,22,-0.0493,-0.4395,0.5455,0.811,-1.456,0.669,-2.737,0.057,-0.864,0.5232,0.5455,2024-01-12 → 2026-04-21
ABB,0.511,False,False,57,72,-0.3133,-0.7316,0.5278,1.709,-2.922,0.654,-2.749,0.3905,-0.802,0.5404,0.5278,2024-02-08 → 2026-04-21
MANAPPURAM,0.4855,False,False,58,17,-0.0601,-0.6008,0.4118,1.756,-1.812,0.678,-2.859,0.072,-0.834,0.507,0.4118,2024-04-19 → 2026-04-21
BHARTIARTL,0.5678,False,False,59,36,-0.0831,-0.4551,0.5,1.002,-1.464,0.684,-2.945,0.1098,-0.757,0.5377,0.5,2024-03-15 → 2026-04-21
HDFCBANK,0.4758,False,False,60,22,-0.0539,-0.47,0.4091,1.264,-1.284,0.682,-2.946,0.096,-0.562,0.5279,0.4545,2024-02-28 → 2026-04-21
TCS,0.4838,False,False,61,27,-0.0656,-0.4694,0.4815,1.062,-1.451,0.679,-2.99,0.1219,-0.538,0.4653,0.4815,2024-04-10 → 2026-04-21
ALKEM,0.5051,False,False,62,21,-0.0785,-0.6251,0.5238,1.151,-2.037,0.621,-3.045,0.1307,-0.601,0.5123,0.5238,2024-04-09 → 2026-04-21
PERSISTENT,0.4715,False,False,63,91,-0.415,-0.7735,0.4615,1.789,-2.547,0.602,-3.146,0.4524,-0.917,0.4972,0.4615,2024-05-24 → 2026-04-21
INDUSTOWER,0.5095,False,False,64,8,-0.0354,-0.6783,0.25,3.261,-1.653,0.658,-3.2,0.0832,-0.425,0.5318,0.25,2024-04-15 → 2026-04-08
TATACONSUM,0.5287,False,False,65,29,-0.0966,-0.5862,0.5862,0.846,-2.009,0.596,-3.432,0.1515,-0.637,0.5181,0.5862,2024-03-28 → 2026-04-21
BERGEPAINT,0.5334,False,False,66,33,-0.1501,-0.7112,0.5152,1.407,-2.456,0.609,-3.458,0.2409,-0.623,0.4932,0.5152,2023-12-28 → 2026-04-21
NTPC,0.4942,False,False,67,54,-0.2824,-0.7875,0.5185,1.159,-2.438,0.512,-3.481,0.3063,-0.922,0.5212,0.5185,2024-04-22 → 2026-04-21
EXIDEIND,0.4754,False,False,68,17,-0.0797,-0.7081,0.5882,1.03,-2.599,0.566,-3.634,0.1324,-0.602,0.4865,0.5882,2024-05-09 → 2026-04-21
MOTHERSON,0.4658,False,False,69,19,-0.1064,-0.7752,0.3684,2.112,-2.12,0.581,-3.825,0.1306,-0.815,0.5168,0.4211,2024-05-16 → 2026-04-21
COALINDIA,0.4967,False,False,70,51,-0.3256,-0.8573,0.451,1.356,-2.437,0.457,-4.133,0.3544,-0.919,0.5254,0.451,2024-03-20 → 2026-04-16
ITC,0.5062,False,False,71,25,-0.0715,-0.5267,0.44,0.867,-1.198,0.569,-4.25,0.1322,-0.541,0.4643,0.52,2024-02-23 → 2026-04-21
CHOLAFIN,0.5353,False,False,72,21,-0.0981,-0.7104,0.381,1.523,-1.702,0.55,-4.335,0.1389,-0.706,0.4683,0.4762,2024-04-29 → 2026-04-21
AXISBANK,0.5049,False,False,73,27,-0.1341,-0.7391,0.4074,1.328,-1.778,0.513,-4.388,0.1625,-0.825,0.482,0.4074,2024-03-05 → 2026-04-16
INFY,0.5135,False,False,74,22,-0.1149,-0.7529,0.3636,1.654,-1.783,0.53,-4.482,0.1149,-1.0,0.4969,0.4545,2024-03-18 → 2026-04-21
ASIANPAINT,0.5023,False,False,75,63,-0.1963,-0.5828,0.4127,0.903,-1.211,0.524,-4.566,0.1963,-1.0,0.4762,0.4286,2024-01-15 → 2026-04-21
DRREDDY,0.5018,False,False,76,61,-0.2754,-0.7357,0.4098,1.239,-1.725,0.499,-4.694,0.2884,-0.955,0.5273,0.4426,2024-04-16 → 2026-04-16
BRITANNIA,0.523,False,False,77,34,-0.1355,-0.6601,0.5294,0.66,-1.629,0.456,-4.977,0.1434,-0.945,0.5574,0.5294,2024-05-27 → 2026-04-21
COLPAL,0.4861,False,False,78,36,-0.1954,-0.7817,0.4444,1.141,-1.963,0.465,-5.002,0.2154,-0.907,0.4888,0.4444,2024-05-24 → 2026-04-21
DIVISLAB,0.4888,False,False,79,34,-0.1743,-0.7582,0.4118,1.026,-1.651,0.435,-5.588,0.1743,-1.0,0.5041,0.4118,2023-11-20 → 2026-04-16
HDFCLIFE,0.4983,False,False,80,14,-0.4374,-1.0,0.3571,1.052,-5.873,0.1,-5.614,0.4374,-1.0,0.4648,0.3571,2024-04-22 → 2026-04-21
LT,0.5458,False,False,81,33,-0.2021,-0.8216,0.4848,0.785,-2.035,0.363,-6.568,0.2229,-0.907,0.5305,0.4848,2024-03-21 → 2026-04-21
RELIANCE,0.4923,False,False,82,18,-0.1,-0.7713,0.3889,0.946,-1.542,0.391,-6.82,0.1312,-0.762,0.4828,0.4444,2024-03-27 → 2026-04-21
TVSMOTOR,0.5249,False,False,83,10,-0.0592,-0.7853,0.3,1.152,-1.351,0.365,-7.667,0.0716,-0.827,0.5353,0.3,2024-04-22 → 2026-04-21
ICICIGI,0.4966,False,False,84,16,-0.0944,-0.7903,0.375,0.818,-1.468,0.334,-8.594,0.1028,-0.918,0.4923,0.375,2024-05-16 → 2026-04-21
INDUSINDBK,0.5023,False,False,85,8,-0.1455,-0.9929,0.375,1.087,-3.676,0.177,-9.233,0.1455,-1.0,0.4957,0.375,2024-03-18 → 2026-04-21
NESTLEIND,0.4855,False,False,86,34,-0.2215,-0.8437,0.3235,0.827,-1.469,0.269,-9.442,0.2215,-1.0,0.4867,0.3235,2024-05-09 → 2026-04-21
BAJAJFINSV,0.4767,False,False,,8,,,0.625,1.13,,99.0,,0.0,99.0,0.5107,0.625,2024-04-23 → 2026-04-21
CIPLA,0.4965,False,False,,52,,,0.4615,1.286,,99.0,,0.0,99.0,0.4936,0.5,2024-03-22 → 2026-04-16
GAIL,0.5266,False,False,,49,,,0.5102,1.587,,99.0,,0.0,99.0,0.5025,0.5102,2024-01-12 → 2026-04-21
TECHM,0.5139,False,False,,40,,,0.525,1.363,,99.0,,0.0,99.0,0.506,0.525,2024-03-22 → 2026-04-21
