symbol,window_id,train_ratio,train_size,val_size,test_size,test_start,test_end,oos_accuracy,auc,f1,precision,recall,tp,fp,tn,fn,lgbm_acc,xgb_acc,lstm_acc,bilstm_acc,gru_acc,cnn_lstm_acc,cnn_gru_acc,tcn_gru_acc,tcn_transformer_acc,nbeats_acc,dir_acc_up,dir_acc_down,pct_neutral,pct_up,pct_down,temperature,dl_models_trained
EICHERMOT,2,0.75,767,85,114,2024-08-05,2025-03-26,0.5263157894736842,0.538771712158809,0.37209302325581395,0.47058823529411764,0.3076923076923077,16,18,44,36,0.47368421052631576,0.5350877192982456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.55,0.0,0.2982456140350877,0.7017543859649122,1.0,0
EICHERMOT,3,0.8,819,90,114,2024-12-04,2025-07-28,0.5614035087719298,0.5216989843028624,0.5370370370370371,0.5686274509803921,0.5087719298245614,29,22,35,28,0.5,0.5526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5686274509803921,0.5555555555555556,0.0,0.4473684210526316,0.5526315789473685,1.0,0
EICHERMOT,4,0.85,870,96,114,2025-03-28,2025-12-15,0.543859649122807,0.489375,0.5806451612903226,0.6,0.5625,36,24,26,28,0.5614035087719298,0.4824561403508772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4814814814814815,0.0,0.5263157894736842,0.47368421052631576,0.1214639250422094,0
EICHERMOT,5,0.9,921,102,114,2025-07-31,2026-04-16,0.5175438596491229,0.5222533457827576,0.56,0.5645161290322581,0.5555555555555556,35,27,24,28,0.4824561403508772,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5645161290322581,0.46153846153846156,0.0,0.543859649122807,0.45614035087719296,0.10000660285425449,0
EICHERMOT,6,0.95,972,108,57,2025-12-16,2026-04-16,0.47368421052631576,0.45935960591133007,0.53125,0.4722222222222222,0.6071428571428571,17,19,10,11,0.543859649122807,0.543859649122807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722222222222222,0.47619047619047616,0.0,0.631578947368421,0.3684210526315789,0.5889627481238754,0
TVSMOTOR,1,0.7,712,79,113,2024-04-22,2024-12-02,0.5486725663716814,0.37685364281108963,0.7017543859649122,0.5714285714285714,0.9090909090909091,60,45,2,6,0.45132743362831856,0.584070796460177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.25,0.0,0.9292035398230089,0.07079646017699115,0.3776395349386349,0
TVSMOTOR,2,0.75,764,84,113,2024-08-08,2025-03-25,0.504424778761062,0.49335863377609107,0.6666666666666666,0.5283018867924528,0.9032258064516129,56,50,1,6,0.4690265486725664,0.5486725663716814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5283018867924528,0.1428571428571429,0.0,0.9380530973451328,0.061946902654867256,1.0,0
TVSMOTOR,3,0.8,814,90,113,2024-12-03,2025-07-21,0.5221238938053098,0.47991211550533586,0.6823529411764706,0.5225225225225225,0.9830508474576272,58,53,1,1,0.48672566371681414,0.5221238938053098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5225225225225225,0.5,0.0,0.9823008849557522,0.017699115044247787,0.5645927089249451,0
TVSMOTOR,4,0.85,865,96,113,2025-03-26,2025-12-12,0.5309734513274337,0.5144381669805399,0.6708074534161491,0.5294117647058824,0.9152542372881356,54,48,6,5,0.504424778761062,0.5221238938053098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.5454545454545454,0.0,0.9026548672566371,0.09734513274336283,0.2896135597846432,0
TVSMOTOR,5,0.9,916,101,114,2025-07-24,2026-04-21,0.5263157894736842,0.35929802955665024,0.6666666666666666,0.5094339622641509,0.9642857142857143,54,52,6,2,0.4298245614035088,0.49122807017543857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094339622641509,0.75,0.0,0.9298245614035088,0.07017543859649122,0.38003800575604146,0
TVSMOTOR,6,0.95,967,107,57,2025-12-15,2026-04-21,0.5087719298245614,0.45657568238213403,0.6,0.4772727272727273,0.8076923076923077,21,23,8,5,0.43859649122807015,0.45614035087719296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4772727272727273,0.6153846153846154,0.0,0.7719298245614035,0.22807017543859648,1.0,0
M&M,1,0.7,698,77,111,2024-05-13,2024-12-18,0.5045045045045045,0.46428571428571425,0.60431654676259,0.5526315789473685,0.6666666666666666,42,34,14,21,0.5495495495495496,0.5225225225225225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5526315789473685,0.4,0.0,0.6846846846846847,0.3153153153153153,0.31612817605631555,0
M&M,2,0.75,748,83,110,2024-09-04,2025-04-04,0.4727272727272727,0.4265873015873016,0.6133333333333333,0.48936170212765956,0.8214285714285714,46,48,6,10,0.4818181818181818,0.509090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48936170212765956,0.375,0.0,0.8545454545454545,0.14545454545454545,0.4773451481768374,0
M&M,3,0.8,798,88,111,2024-12-19,2025-08-11,0.5135135135135135,0.4437908496732026,0.6582278481012658,0.5306122448979592,0.8666666666666667,52,46,5,8,0.4774774774774775,0.5315315315315315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5306122448979592,0.3846153846153846,0.0,0.8828828828828829,0.11711711711711711,0.27132532270026216,0
M&M,4,0.85,847,94,111,2025-04-07,2025-12-05,0.5405405405405406,0.375,0.6792452830188679,0.5684210526315789,0.84375,54,41,6,10,0.5225225225225225,0.5765765765765766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5684210526315789,0.375,0.0,0.8558558558558559,0.14414414414414414,1.0,0
M&M,5,0.9,898,99,111,2025-08-12,2026-04-21,0.4774774774774775,0.5107142857142858,0.6419753086419753,0.48598130841121495,0.9454545454545454,52,55,1,3,0.5405405405405406,0.4954954954954955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48598130841121495,0.25,0.0,0.963963963963964,0.036036036036036036,0.4059896278287811,0
M&M,6,0.95,947,105,56,2025-12-08,2026-04-21,0.48214285714285715,0.487741935483871,0.5915492957746479,0.45652173913043476,0.84,21,25,6,4,0.5,0.48214285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45652173913043476,0.6,0.0,0.8214285714285714,0.17857142857142858,0.3775888663052021,0
EXIDEIND,1,0.7,698,77,111,2024-05-09,2024-12-11,0.5045045045045045,0.4756335282651072,0.6706586826347305,0.509090909090909,0.9824561403508771,56,54,0,1,0.5045045045045045,0.5135135135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509090909090909,0.0,0.0,0.990990990990991,0.009009009009009009,0.14237306459010432,0
EXIDEIND,2,0.75,748,83,110,2024-09-05,2025-04-08,0.4909090909090909,0.5061482220006646,0.5882352941176471,0.47058823529411764,0.7843137254901961,40,45,14,11,0.5454545454545454,0.509090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.56,0.0,0.7727272727272727,0.22727272727272727,0.3226522893899293,0
EXIDEIND,3,0.8,798,88,111,2024-12-12,2025-08-14,0.42342342342342343,0.3758934372969461,0.5428571428571428,0.4578313253012048,0.6666666666666666,38,45,9,19,0.46846846846846846,0.5135135135135135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4578313253012048,0.3214285714285714,0.0,0.7477477477477478,0.25225225225225223,1.0,0
EXIDEIND,4,0.85,847,94,111,2025-04-09,2025-12-15,0.4774774774774775,0.425,0.6081081081081081,0.4891304347826087,0.8035714285714286,45,47,8,11,0.42342342342342343,0.5045045045045045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4891304347826087,0.42105263157894735,0.0,0.8288288288288288,0.17117117117117117,1.0,0
EXIDEIND,5,0.9,898,99,111,2025-08-19,2026-04-21,0.4594594594594595,0.47662936142198814,0.47368421052631576,0.4153846153846154,0.5510204081632653,27,38,24,22,0.4774774774774775,0.44144144144144143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4153846153846154,0.5217391304347826,0.0,0.5855855855855856,0.4144144144144144,1.0,0
