symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
BHEL,0.5135834411384217,0.6284584980237155,6.0,773,50.0,1404.0
POLYCAB,0.5008375209380235,0.6374695863746959,6.0,597,50.0,1084.0
ABB,0.505524861878453,0.6150537634408603,6.0,724,50.0,1315.0
HAVELLS,0.4704184704184704,0.5372005044136192,6.0,693,50.0,1259.0
CUMMINSIND,0.5369774919614148,0.6521739130434783,6.0,622,50.0,1129.0
BHARTIARTL,0.5523156089193825,0.6477732793522267,6.0,583,50.0,1059.0
INDUSTOWER,0.5031545741324921,0.48105436573311366,6.0,634,50.0,1151.0
ULTRACEMCO,0.5289115646258503,0.5956204379562043,6.0,588,50.0,1067.0
GRASIM,0.5327868852459017,0.6111869031377899,6.0,610,50.0,1107.0
AMBUJACEM,0.5087719298245614,0.5947368421052631,6.0,627,50.0,1137.0
TITAN,0.5230312035661219,0.5485232067510548,6.0,673,50.0,1222.0
SHREECEM,0.4697986577181208,0.5255255255255256,6.0,596,50.0,1082.0
ASIANPAINT,0.5290519877675841,0.5347432024169184,6.0,654,50.0,1188.0
PIDILITIND,0.5022354694485842,0.5570291777188329,6.0,671,50.0,1219.0
BERGEPAINT,0.5201192250372578,0.599502487562189,6.0,671,50.0,1219.0
VOLTAS,0.5193370165745856,0.610738255033557,6.0,724,50.0,1314.0
PAGEIND,0.5076923076923077,0.5294117647058824,6.0,715,50.0,1297.0
DLF,0.48079470198675495,0.5950413223140496,6.0,755,50.0,1372.0
DMART,0.47413793103448276,0.4830508474576271,6.0,696,50.0,1264.0
ADANIPORTS,0.5323624595469255,0.505982905982906,6.0,618,50.0,1123.0
ADANIENT,0.5188811188811189,0.5804878048780487,6.0,715,50.0,1298.0
GODREJPROP,0.5078740157480315,0.5980707395498392,6.0,762,50.0,1384.0
BEL,0.5038402457757296,0.6065773447015834,6.0,651,50.0,1181.0
IRFC,0.551980198019802,0.40264026402640263,6.0,404,50.0,733.0
HAL,0.5265625,0.6263871763255241,6.0,640,50.0,1163.0
ETERNAL,0.47890818858560796,0.5047169811320755,6.0,403,50.0,732.0
AVERAGE,0.5043780879031967,0.5660137304484291,6.0,60621,49.41237113402062,1134.7525773195875
