iter	Passed	Remaining
614	8135	5093
615	8153	5082
616	8168	5070
617	8183	5058
618	8197	5045
619	8210	5032
620	8221	5017
621	8234	5003
622	8248	4991
623	8262	4978
624	8277	4966
625	8292	4954
626	8306	4941
627	8322	4929
628	8336	4916
629	8351	4904
630	8365	4892
631	8378	4878
632	8393	4866
633	8407	4853
634	8422	4841
635	8437	4829
636	8450	4815
637	8463	4802
638	8475	4788
639	8489	4775
640	8503	4762
641	8518	4750
642	8532	4737
643	8546	4724
644	8561	4712
645	8576	4699
646	8591	4687
647	8605	4674
648	8621	4662
649	8635	4649
650	8650	4637
651	8665	4624
652	8682	4614
653	8704	4605
654	8730	4598
655	8746	4586
656	8763	4575
657	8782	4564
658	8804	4555
659	8821	4544
660	8836	4532
661	8851	4519
662	8874	4510
663	8888	4497
664	8901	4484
665	8915	4470
666	8928	4457
667	8944	4445
668	8958	4432
669	8972	4419
670	8984	4405
671	8997	4391
672	9011	4378
673	9026	4365
674	9042	4353
675	9057	4340
676	9070	4327
677	9083	4313
678	9096	4300
679	9111	4287
680	9125	4274
681	9139	4261
682	9152	4247
683	9163	4233
684	9175	4219
685	9190	4206
686	9204	4193
687	9216	4179
688	9228	4165
689	9240	4151
690	9269	4145
691	9281	4131
692	9291	4116
693	9306	4103
694	9321	4090
695	9334	4077
696	9346	4063
697	9357	4048
698	9369	4034
699	9381	4020
700	9391	4005
701	9403	3991
702	9415	3977
703	9427	3963
704	9438	3949
705	9450	3935
706	9462	3921
707	9474	3907
708	9486	3893
709	9499	3880
710	9512	3866
711	9523	3852
712	9534	3838
713	9547	3824
714	9558	3810
715	9570	3796
716	9581	3781
717	9593	3767
718	9604	3753
719	9614	3739
720	9628	3725
721	9640	3711
722	9650	3697
723	9661	3683
724	9674	3669
725	9687	3656
726	9699	3642
727	9713	3629
728	9724	3615
729	9737	3601
730	9749	3587
731	9762	3574
732	9773	3560
733	9787	3546
734	9799	3533
735	9812	3519
736	9822	3505
737	9835	3491
738	9847	3477
739	9859	3464
740	9869	3449
741	9881	3435
742	9893	3422
743	9903	3407
744	9916	3394
745	9928	3380
746	9940	3366
747	9951	3352
748	9963	3338
749	9974	3324
750	9986	3311
751	9999	3297
752	10012	3284
753	10024	3270
754	10035	3256
755	10046	3242
756	10058	3228
757	10069	3214
758	10080	3200
759	10092	3187
760	10104	3173
761	10115	3159
762	10126	3145
763	10139	3132
764	10151	3118
765	10161	3104
766	10173	3090
767	10185	3076
768	10195	3062
769	10207	3049
770	10220	3035
771	10231	3021
772	10242	3007
773	10254	2994
774	10267	2980
775	10277	2966
776	10290	2953
777	10301	2939
778	10312	2925
779	10322	2911
780	10333	2897
781	10343	2883
782	10353	2869
