Stock,BestModel,DirectionAccuracy,Precision,Recall,F1Score,CloseMAPE,HighMAPE,LowMAPE,CloseR2,TestSamples,XGBoost_Acc,LSTM_Acc,GRU_Acc,Ensemble_Acc
BHARTIARTL,Ensemble,66.8,87.41,44.96,59.38,0.98,0.91,1,0.0312,515,66.67,46.02,46.02,66.8
AXISBANK,XGBoost,66.67,77.63,45.56,57.42,1.05,0.77,0.91,0.0001,525,66.67,49.71,49.71,66.41
EICHERMOT,Ensemble,66.44,67.74,68.63,68.18,1.1,1.02,0.9,0.0006,292,65.56,52.4,52.4,66.44
SAIL,Ensemble,66.4,82.07,46.12,59.06,1.86,1.46,1.46,0.0445,491,66.07,47.45,47.45,66.4
JSWSTEEL,XGBoost,66.29,77.99,46.62,58.35,1.25,0.96,0.93,-0.1086,525,66.29,51.26,51.26,66.02
PNB,XGBoost,66.29,81.58,45.42,58.35,1.46,1.03,1.12,-0.0608,525,66.29,47.57,47.57,66.21
HAVELLS,Ensemble,66.1,73.91,47.55,57.87,1.11,0.94,0.91,-0.0186,292,65.56,48.97,48.97,66.1
BRITANNIA,Ensemble,65.83,83.67,44.73,58.29,0.91,0.82,0.69,0.0376,515,65.33,53.4,53.4,65.83
SUNPHARMA,Ensemble,65.83,76.85,54.74,63.93,0.92,0.81,0.87,-0.0064,515,65.33,44.66,44.66,65.83
RAMCOCEM,XGBoost,65.8,65.09,70.47,67.67,1.07,0.85,0.94,0.1673,500,65.8,50.41,50.41,65.31
HINDALCO,Ensemble,65.63,77.56,54.83,64.24,1.27,1.05,1.21,-0.0062,515,65.14,56.31,56.31,65.63
TVSMOTOR,XGBoost,64.9,64.84,73.75,69.01,1.15,0.9,1.01,0.1462,302,64.9,52.4,52.4,64.38
APOLLOHOSP,Ensemble,64.85,68.25,55.81,61.41,0.97,0.98,0.88,0.0396,515,64.76,50.1,49.9,64.85
MARUTI,Ensemble,64.85,69.68,51.37,59.14,0.96,0.84,0.75,-0.0005,515,64.76,50.49,50.49,64.85
TATAMOTORS,XGBoost,64.76,65.85,54,59.34,1.43,1.03,1.31,-0.0086,525,64.76,52.23,52.23,64.47
ASHOKLEY,Ensemble,64.73,60.28,87.76,71.47,1.38,1.31,1.1,-0.001,292,64.24,50.34,50.34,64.73
TATASTEEL,Ensemble,64.66,65.11,68.05,66.54,1.25,1.07,1.08,0.0157,515,64.57,51.65,51.65,64.66
INDUSINDBK,XGBoost,64.57,70.76,47.08,56.54,2.69,1.49,1,-2.0541,525,64.57,48.93,48.93,64.47
ONGC,Ensemble,64.47,82.88,35.94,50.14,1.31,1.02,1.1,0.0634,515,64.38,49.71,49.71,64.47
SBIN,XGBoost,64.19,76.88,47.33,58.59,1.06,0.68,0.98,-0.0083,525,64.19,54.17,54.17,63.69
TITAN,Ensemble,64.08,78.63,39.62,52.69,1.02,0.86,0.83,-0.0015,515,63.81,50.49,50.49,64.08
COFORGE,Ensemble,63.95,61.13,87.69,72.04,1.51,1.36,1.3,-0.0006,491,63.47,52.95,52.95,63.95
HDFCLIFE,XGBoost,63.8,71.32,47.42,56.97,1.05,0.75,0.78,-0.008,384,63.8,49.2,49.2,63.64
ICICIBANK,XGBoost,63.62,71.07,51.09,59.45,0.83,0.64,0.81,0.0389,525,63.62,47.38,47.38,63.5
ICICIGI,Ensemble,63.48,70.75,43.1,53.57,1.12,0.97,0.83,-0.0006,356,62.84,51.12,51.12,63.48
TATAPOWER,XGBoost,63.25,59.91,83.01,69.59,1.18,0.85,0.91,-0.0077,302,63.25,50,50,63.01
GODREJCP,XGBoost,62.91,54.86,74.42,63.16,1.1,0.92,0.87,-0.009,302,62.91,42.81,42.81,62.67
ADANIENT,XGBoost,61.52,57.72,69.35,63,1.51,1.77,1.46,0.0058,525,61.52,47.96,47.96,61.36
AMBUJACEM,XGBoost,60.93,58.38,68.71,63.13,1.15,0.82,0.97,0.0044,302,60.93,48.97,48.97,60.27
BANKBARODA,XGBoost,60.76,91.67,24.81,39.05,1.36,0.96,1.32,-0.0538,525,60.76,49.13,49.13,60.58
NMDC,Ensemble,60.62,81.67,32.03,46.01,1.46,1.19,1.23,0.0604,292,59.93,52.4,52.4,60.62
FEDERALBNK,XGBoost,59.48,78.35,29.46,42.82,1.21,0.94,1.18,-0.0991,501,59.48,48.07,48.07,59.27
MARICO,Ensemble,59.25,64.71,38.19,48.03,0.96,0.85,0.74,0.0342,292,58.61,49.32,49.32,59.25
TCS,XGBoost,58.86,53.4,84.3,65.38,0.94,0.77,0.65,0.0197,525,58.86,46.6,46.6,58.83
HEROMOTOCO,Ensemble,58.25,79.8,28.83,42.36,1.22,0.9,0.92,-0.0464,515,58.1,46.8,46.8,58.25
BAJAJ-AUTO,XGBoost,57.9,84.38,28.22,42.3,1.07,0.78,0.9,0.0497,525,57.9,54.76,54.76,57.67
COLPAL,XGBoost,57.62,55.3,51.41,53.28,1.14,0.83,0.74,-0.0538,302,57.62,47.26,52.74,57.53
MOTHERSON,Ensemble,56.62,79.27,24.9,37.9,1.63,1.34,1.32,-0.0005,491,56.29,46.84,46.84,56.62
INFY,Ensemble,52.62,51.27,94.53,66.48,1.03,0.97,0.87,0.0865,515,52,49.71,49.71,52.62
