symbol,oos_accuracy,oos_f1,n_windows,n_predictions,n_features,n_rows
MUTHOOTFIN,0.534914361,0.633437175,6,759,47,1377
NAUKRI,0.460772105,0.555897436,6,803,50,1458
NESTLEIND,0.502923977,0.628008753,6,684,50,1243
NMDC,0.505717916,0.622696411,6,787,50,1429
NTPC,0.51568895,0.603351955,6,733,50,1330
OFSS,0.475206612,0.553341149,6,726,50,1317
ONGC,0.517464424,0.597626753,6,773,50,1404
PAGEIND,0.536423841,0.447949527,6,755,50,1371
PERSISTENT,0.513375796,0.668402778,6,785,50,1425
PIDILITIND,0.525568182,0.656378601,6,704,50,1280
POLYCAB,0.526984127,0.682978723,6,630,50,1144
POWERGRID,0.497245179,0.623323013,6,726,50,1318
RBLBANK,0.513480392,0.60654113,6,816,47,1483
RELIANCE,0.488111888,0.590604027,6,715,50,1298
SAIL,0.47001224,0.526775956,6,817,50,1484
SBILIFE,0.514245014,0.56,6,702,47,1275
SBIN,0.553888131,0.691800189,6,733,47,1330
SHREECEM,0.505509642,0.620908131,6,726,50,1319
SHRIRAMFIN,0.525252525,0.598290598,6,792,47,1439
SIEMENS,0.525170068,0.676552363,6,735,50,1336
SUNPHARMA,0.503477051,0.576512456,6,719,50,1305
TATACONSUM,0.506702413,0.651515152,6,746,50,1354
TATAELXSI,0.484927916,0.552901024,6,763,50,1385
TATAPOWER,0.552,0.684803002,6,750,50,1363
TATASTEEL,0.507006369,0.656,6,785,50,1425
TCS,0.489705882,0.638917794,6,680,50,1236
TECHM,0.521390374,0.637651822,6,748,50,1359
TITAN,0.505649718,0.656188605,6,708,50,1285
TORNTPHARM,0.517580872,0.648205128,6,711,50,1292
TVSMOTOR,0.530638853,0.666666667,6,767,50,1393
ULTRACEMCO,0.516666667,0.576642336,6,720,50,1307
VEDL,0.566339066,0.686222222,6,814,50,1478
VOLTAS,0.525490196,0.63880597,6,765,50,1389
WIPRO,0.500699301,0.598425197,6,715,50,1297
AVERAGE,0.511582526,0.600694278,6,737.5454545,49.39393939,1339.353535
