symbol,oos_accuracy,meta_val_auc,tradeable,cross_sectional_top15,sharpe_rank,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
PERSISTENT,0.5611,0.544,False,False,24,8,-0.0478,-0.7865,0.375,7.123,-4.85,0.881,-0.835,0.2104,-0.227,0.5769,0.375,2024-05-10 → 2026-04-16
TCS,0.4957,0.565,False,False,25,7,-0.0192,-0.5023,0.5714,1.766,-2.912,0.809,-1.54,0.0565,-0.34,0.4671,0.5714,2024-04-10 → 2026-04-16
SAIL,0.5874,0.491,False,False,26,12,-0.1416,-0.9595,0.5,5.964,-7.808,0.764,-1.859,0.2545,-0.556,0.5296,0.5,2024-04-22 → 2026-04-16
POWERGRID,0.4663,0.518,False,False,27,6,-0.0814,-0.9717,0.3333,9.467,-6.397,0.74,-2.323,0.2333,-0.349,0.4575,0.3333,2024-04-23 → 2026-04-16
TATAELXSI,0.5265,0.615,False,False,28,7,-0.1157,-0.988,0.2857,11.94,-6.656,0.718,-2.388,0.2191,-0.528,0.3727,0.2857,2024-04-24 → 2026-04-16
RELIANCE,0.5136,0.549,False,False,29,8,-0.0682,-0.892,0.375,4.523,-3.921,0.692,-2.464,0.1553,-0.439,0.4727,0.375,2024-03-01 → 2026-04-09
GAIL,0.5121,0.569,False,False,30,7,-0.043,-0.7942,0.5714,1.675,-3.594,0.621,-3.343,0.0829,-0.518,0.4899,0.5714,2023-12-20 → 2026-04-16
M&M,0.5206,0.679,False,False,31,5,-0.0625,-0.9613,0.4,4.187,-4.723,0.591,-3.824,0.1286,-0.486,0.5749,0.4,2024-04-26 → 2026-04-16
CUMMINSIND,0.5252,0.661,False,False,32,9,-0.1717,-0.9949,0.4444,3.43,-6.081,0.451,-4.631,0.2096,-0.819,0.549,0.4444,2024-05-09 → 2026-04-16
LTIM,0.5609,0.515,False,False,33,5,-0.1534,-0.9998,0.4,6.076,-8.806,0.46,-5.059,0.2467,-0.622,0.5545,0.6,2024-04-05 → 2026-04-16
HAL,0.4777,0.556,False,False,34,6,-0.1157,-0.9943,0.5,2.078,-5.813,0.357,-5.486,0.1493,-0.775,0.4244,0.5,2024-04-16 → 2026-04-10
GRASIM,0.5274,0.44,False,False,35,7,-0.1176,-0.9889,0.4286,2.126,-4.568,0.349,-7.28,0.1475,-0.797,0.558,0.4286,2024-03-06 → 2026-04-16
TATACONSUM,0.4726,0.598,False,False,36,5,-0.146,-0.9996,0.4,2.051,-6.347,0.215,-9.969,0.146,-1.0,0.4966,0.4,2024-03-12 → 2026-04-16
BERGEPAINT,0.5132,0.5,False,False,37,6,-0.1756,-0.9997,0.3333,2.173,-5.697,0.191,-11.544,0.1756,-1.0,0.4365,0.3333,2024-01-11 → 2026-04-10
NTPC,0.5051,0.643,False,False,38,6,-0.1645,-0.9995,0.1667,0.043,-3.497,0.002,-16.065,0.1649,-0.998,0.5335,0.1667,2024-03-18 → 2026-04-16
INDUSINDBK,0.4788,0.619,False,False,39,5,-0.163,-0.9999,0.2,1.212,-4.616,0.066,-18.652,0.163,-1.0,0.4369,0.2,2024-04-10 → 2026-04-16
