symbol,oos_accuracy,tradeable,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
SAIL,0.5345,True,29,-0.0817,-0.523,0.3448,3.653,-2.283,0.842,-1.214,0.2837,-0.288,0.4986,0.3448,2024-04-15 → 2026-04-16
BHARTIARTL,0.5523,True,45,-0.0532,-0.2636,0.6,1.005,-1.78,0.847,-1.354,0.1152,-0.462,0.5409,0.6,2024-03-14 → 2026-04-09
HAL,0.4977,False,53,-0.1819,-0.6151,0.4906,1.817,-2.379,0.735,-1.678,0.2212,-0.823,0.5,0.5094,2024-05-03 → 2026-04-16
BAJAJ-AUTO,0.4801,False,22,-0.0391,-0.3667,0.5455,1.177,-1.777,0.795,-1.726,0.1207,-0.324,0.5158,0.5455,2024-05-16 → 2026-04-16
SIEMENS,0.5244,True,44,-0.1366,-0.5687,0.5227,1.884,-2.675,0.772,-1.758,0.2772,-0.493,0.5512,0.5227,2024-02-15 → 2026-04-16
CHOLAFIN,0.4864,False,29,-0.0715,-0.4752,0.4138,1.911,-1.741,0.775,-1.803,0.1439,-0.497,0.4669,0.4483,2024-04-29 → 2026-04-16
ONGC,0.519,True,28,-0.1521,-0.7735,0.4286,2.451,-2.708,0.679,-2.021,0.1708,-0.89,0.4928,0.4643,2024-04-02 → 2026-04-16
RELIANCE,0.4991,False,18,-0.0332,-0.3764,0.5,1.097,-1.448,0.757,-2.105,0.0928,-0.357,0.4811,0.5556,2024-03-27 → 2026-04-16
BRITANNIA,0.5341,True,67,-0.82,-0.9984,0.5522,1.091,-4.278,0.315,-2.153,0.8372,-0.979,0.5507,0.5672,2024-05-24 → 2026-04-16
ALKEM,0.5269,True,37,-0.1108,-0.5507,0.4865,1.592,-2.077,0.726,-2.262,0.191,-0.58,0.5093,0.4865,2024-04-05 → 2026-04-10
COLPAL,0.4965,False,33,-0.079,-0.4666,0.5455,1.173,-1.919,0.733,-2.275,0.1523,-0.519,0.4856,0.5455,2024-05-23 → 2026-04-16
CIPLA,0.5052,True,37,-0.0834,-0.4476,0.5135,1.083,-1.597,0.716,-2.294,0.0948,-0.88,0.4904,0.5135,2024-03-22 → 2026-04-16
LUPIN,0.5133,True,23,-0.0472,-0.4115,0.5652,0.938,-1.675,0.727,-2.338,0.0666,-0.709,0.5335,0.5652,2024-04-03 → 2026-04-10
AMBUJACEM,0.4976,False,48,-0.2428,-0.7678,0.5208,1.72,-2.931,0.638,-2.344,0.2681,-0.906,0.4883,0.5208,2024-05-03 → 2026-04-16
TATAPOWER,0.5113,True,38,-0.177,-0.7253,0.5,1.87,-2.791,0.67,-2.462,0.2817,-0.628,0.5351,0.5,2023-11-13 → 2026-04-16
TORNTPHARM,0.5009,True,47,-0.1284,-0.5214,0.4468,1.531,-1.732,0.714,-2.478,0.2012,-0.638,0.5344,0.4468,2024-04-03 → 2026-04-16
CUMMINSIND,0.5322,True,58,-0.2672,-0.7409,0.4828,1.784,-2.608,0.638,-2.714,0.3697,-0.723,0.5398,0.4828,2024-05-15 → 2026-04-16
M&M,0.477,False,12,-0.0462,-0.6297,0.5,1.65,-2.386,0.692,-2.762,0.1172,-0.394,0.5345,0.5,2024-05-10 → 2026-04-16
TATACONSUM,0.5057,True,7,-0.0269,-0.6257,0.5714,1.105,-2.327,0.633,-2.896,0.0633,-0.425,0.5181,0.7143,2024-03-27 → 2026-04-16
MARICO,0.4896,False,18,-0.0512,-0.5212,0.4444,1.165,-1.434,0.65,-3.006,0.1207,-0.424,0.5079,0.5,2024-05-06 → 2026-04-16
DRREDDY,0.5211,True,50,-0.1488,-0.556,0.44,1.195,-1.492,0.629,-3.427,0.2179,-0.683,0.5241,0.46,2024-04-16 → 2026-04-16
GRASIM,0.5148,True,24,-0.0844,-0.6038,0.5,1.025,-1.729,0.593,-3.525,0.1308,-0.645,0.5135,0.5,2024-04-05 → 2026-04-16
NTPC,0.5207,True,72,-0.3417,-0.7685,0.4583,1.219,-2.042,0.505,-3.738,0.3511,-0.973,0.5182,0.4583,2024-04-19 → 2026-04-16
ITC,0.5204,True,17,-0.0483,-0.5196,0.3529,1.127,-1.051,0.585,-3.865,0.0502,-0.962,0.4643,0.4706,2024-02-22 → 2026-04-16
ABB,0.5097,True,87,-0.4595,-0.8317,0.4828,1.614,-2.793,0.539,-3.928,0.5044,-0.911,0.5367,0.4828,2024-02-08 → 2026-04-16
HINDUNILVR,0.5333,True,66,-0.2014,-0.5764,0.5,0.758,-1.42,0.534,-4.121,0.2162,-0.932,0.4785,0.5,2024-05-09 → 2026-04-16
ICICIGI,0.4476,False,26,-0.0773,-0.5413,0.5385,0.775,-1.556,0.581,-4.178,0.0892,-0.866,0.4923,0.5385,2024-05-15 → 2026-04-16
SUNPHARMA,0.5302,True,11,-0.0326,-0.5325,0.3636,0.988,-1.026,0.55,-4.184,0.0496,-0.659,0.5222,0.5455,2024-03-13 → 2026-04-16
GODREJPROP,0.5321,True,14,-0.1091,-0.8751,0.5,1.627,-3.18,0.511,-4.287,0.1626,-0.671,0.512,0.5,2024-01-04 → 2026-04-16
INDUSINDBK,0.4751,False,32,-0.2001,-0.8277,0.3438,1.615,-1.863,0.454,-4.709,0.2412,-0.83,0.4914,0.4062,2024-03-18 → 2026-04-16
ADANIENT,0.5692,True,18,-0.0859,-0.7156,0.5,1.124,-2.09,0.538,-4.73,0.1187,-0.724,0.4692,0.5,2023-12-27 → 2026-04-16
HINDALCO,0.4771,False,32,-0.2135,-0.8492,0.4062,1.51,-2.241,0.461,-4.795,0.2553,-0.836,0.5434,0.4062,2024-03-28 → 2026-04-16
BERGEPAINT,0.5067,True,34,-0.2126,-0.8299,0.4412,1.501,-2.392,0.495,-4.895,0.2822,-0.753,0.4918,0.4412,2023-12-28 → 2026-04-16
INFY,0.5118,True,15,-0.1049,-0.8445,0.2667,2.39,-1.834,0.474,-4.9,0.1422,-0.738,0.4938,0.2667,2024-03-15 → 2026-04-10
VOLTAS,0.5193,True,18,-0.1323,-0.8628,0.3333,2.075,-2.172,0.478,-5.153,0.1865,-0.709,0.5342,0.3333,2024-02-12 → 2026-04-16
TVSMOTOR,0.5145,True,20,-0.0981,-0.7276,0.45,0.905,-1.657,0.447,-5.637,0.138,-0.711,0.5339,0.45,2024-04-22 → 2026-04-16
MOTHERSON,0.4832,False,38,-0.2335,-0.8285,0.3421,1.628,-1.878,0.451,-5.757,0.2551,-0.915,0.5168,0.3421,2024-05-15 → 2026-04-16
HDFCBANK,0.517,True,24,-0.1948,-0.8972,0.4167,1.374,-2.471,0.397,-5.88,0.2153,-0.905,0.5246,0.4167,2024-02-27 → 2026-04-16
AXISBANK,0.4886,False,33,-0.2322,-0.8671,0.3636,1.354,-1.991,0.389,-5.912,0.2884,-0.805,0.479,0.3939,2024-03-05 → 2026-04-16
COALINDIA,0.5016,True,36,-0.3385,-0.9446,0.3611,1.298,-2.447,0.3,-5.975,0.3397,-0.997,0.5254,0.3611,2024-03-20 → 2026-04-16
NESTLEIND,0.4964,False,39,-0.1917,-0.7471,0.359,1.023,-1.406,0.408,-6.288,0.206,-0.93,0.4833,0.359,2024-05-08 → 2026-04-16
PERSISTENT,0.4684,False,22,-0.2554,-0.9659,0.3182,2.112,-2.863,0.344,-6.539,0.2554,-1.0,0.5,0.3182,2024-05-22 → 2026-04-16
IDFCFIRSTB,0.5224,True,5,-0.0263,-0.7389,0.4,0.826,-1.422,0.387,-6.633,0.0264,-0.997,0.4816,0.4,2024-04-03 → 2026-04-16
FEDERALBNK,0.4984,False,26,-0.1288,-0.7372,0.3077,1.128,-1.254,0.4,-6.876,0.1288,-1.0,0.5417,0.3077,2024-02-06 → 2026-04-16
SHREECEM,0.4815,False,8,-0.0393,-0.717,0.375,0.841,-1.295,0.39,-7.543,0.0519,-0.757,0.4831,0.375,2024-03-18 → 2026-04-16
MARUTI,0.4843,False,34,-0.2784,-0.9109,0.3235,0.975,-1.857,0.251,-9.141,0.2829,-0.984,0.4984,0.3529,2024-04-29 → 2026-04-16
HEROMOTOCO,0.482,False,10,-0.0938,-0.9165,0.2,1.167,-1.507,0.194,-12.207,0.1044,-0.899,0.5105,0.2,2024-05-16 → 2026-04-16
COFORGE,0.4758,False,16,-0.2827,-0.9947,0.25,0.416,-2.847,0.049,-15.203,0.2827,-1.0,0.5429,0.25,2024-04-05 → 2026-04-10
ETERNAL,0.5272,True,7,-0.1089,-0.9843,0.1429,1.221,-2.093,0.097,-15.561,0.1089,-1.0,0.4773,0.1429,2025-02-01 → 2026-04-16
BPCL,0.4657,False,87,,,0.4598,2.347,,99.0,,0.0,99.0,0.5292,0.4598,2024-04-24 → 2026-04-16
IRFC,0.5506,True,19,,,0.3684,2.451,,99.0,,0.0,99.0,0.4434,0.3684,2024-12-19 → 2026-04-16
SBIN,0.5625,True,86,,,0.5233,1.142,,99.0,,0.0,99.0,0.5449,0.5349,2024-03-20 → 2026-04-16
SHRIRAMFIN,0.4715,False,44,,,0.4091,2.523,,99.0,,0.0,99.0,0.5311,0.4318,2024-05-16 → 2026-04-16
TCS,0.4919,False,36,,,0.3056,1.226,,99.0,,0.0,99.0,0.4653,0.3333,2024-04-09 → 2026-04-16
VEDL,0.5392,True,32,,,0.6875,2.51,,99.0,,0.0,99.0,0.558,0.6875,2024-05-06 → 2026-04-16
WIPRO,0.5085,True,8,,,0.5,0.838,,99.0,,0.0,99.0,0.4984,0.5,2024-05-08 → 2026-04-16
