symbol,oos_accuracy,meta_val_auc,tradeable,cross_sectional_top15,sharpe_rank,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
GRASIM,0.5322,0.643,True,True,12,21,0.2711,16.7971,0.6667,4.055,-4.278,1.896,3.906,0.1173,2.311,0.5563,0.6667,2024-03-15 → 2026-04-27
GAIL,0.5134,0.67,True,True,13,10,0.1706,51.9688,0.6,7.463,-6.525,1.716,3.886,0.1743,0.979,0.4912,0.6,2023-12-21 → 2026-04-23
DIVISLAB,0.5365,0.413,True,True,14,6,0.0748,19.687,0.5,6.648,-3.834,1.734,3.437,0.1046,0.715,0.573,0.5,2024-02-02 → 2026-04-24
TVSMOTOR,0.5362,0.568,True,True,15,13,0.1834,25.1482,0.5385,7.736,-5.56,1.623,3.186,0.1788,1.026,0.6231,0.5385,2024-03-28 → 2026-04-27
HAVELLS,0.4871,0.597,False,False,16,6,0.0565,9.0395,0.6667,4.464,-5.723,1.56,3.033,0.1114,0.507,0.5013,0.6667,2024-01-19 → 2026-04-24
ONGC,0.4737,0.549,False,False,17,7,0.0542,5.6824,0.5714,4.364,-3.817,1.525,2.929,0.1106,0.49,0.4608,0.5714,2024-04-23 → 2026-04-24
LT,0.5567,0.527,True,False,18,6,0.0598,10.4472,0.6667,4.965,-6.287,1.579,2.693,0.0999,0.598,0.5311,0.6667,2024-04-19 → 2026-04-27
HEROMOTOCO,0.4968,0.394,False,False,19,5,0.0347,4.5766,0.6,4.238,-4.35,1.461,2.515,0.047,0.739,0.4755,0.6,2024-05-31 → 2026-04-24
DMART,0.4972,0.594,False,False,20,10,0.091,7.9733,0.4,9.841,-4.604,1.425,2.32,0.129,0.705,0.4818,0.4,2023-12-22 → 2026-04-27
MARICO,0.5435,0.461,True,False,21,7,0.0274,1.6446,0.7143,2.768,-5.169,1.339,1.598,0.1022,0.268,0.5488,0.7143,2024-06-03 → 2026-04-21
HINDALCO,0.5233,0.628,False,False,22,13,-0.021,-0.3377,0.4615,5.24,-4.467,1.006,-0.031,0.2708,-0.078,0.6158,0.4615,2024-03-21 → 2026-04-27
TECHM,0.5539,0.524,False,False,23,7,-0.0305,-0.672,0.4286,6.957,-5.503,0.948,-0.404,0.2068,-0.147,0.5925,0.5714,2024-04-04 → 2026-04-24
HAL,0.4593,0.673,False,False,24,7,-0.0424,-0.7897,0.4286,6.682,-5.594,0.896,-0.748,0.157,-0.27,0.4203,0.4286,2024-04-22 → 2026-04-27
M&M,0.5047,0.671,False,False,25,9,-0.0673,-0.8577,0.5556,4.679,-7.018,0.833,-1.23,0.1461,-0.46,0.5642,0.5556,2024-04-30 → 2026-04-24
SAIL,0.5529,0.537,False,False,26,11,-0.0746,-0.8306,0.4545,4.885,-5.027,0.81,-1.447,0.1547,-0.482,0.5225,0.4545,2024-04-29 → 2026-04-27
POWERGRID,0.4663,0.518,False,False,27,6,-0.0611,-0.9292,0.3333,10.024,-6.126,0.818,-1.549,0.2241,-0.273,0.4869,0.3333,2024-04-23 → 2026-04-16
BPCL,0.5421,0.671,False,False,28,5,-0.1535,-0.9998,0.2,17.043,-7.401,0.576,-3.31,0.2282,-0.673,0.5075,0.2,2024-05-17 → 2026-04-27
INDUSINDBK,0.4708,0.471,False,False,29,5,-0.0639,-0.9641,0.2,6.184,-3.073,0.503,-4.66,0.0798,-0.801,0.454,0.2,2024-04-23 → 2026-04-27
BHEL,0.5006,0.652,False,False,30,6,-0.0723,-0.9573,0.3333,2.404,-2.974,0.404,-5.5,0.1103,-0.655,0.512,0.5,2023-12-20 → 2026-04-27
EXIDEIND,0.5692,0.474,False,False,31,9,-0.1804,-0.9962,0.2222,6.211,-4.415,0.402,-6.426,0.1804,-1.0,0.4084,0.2222,2024-05-06 → 2026-04-27
AMBUJACEM,0.5104,0.613,False,False,32,7,-0.1054,-0.9818,0.1429,4.641,-2.534,0.305,-6.636,0.145,-0.726,0.4157,0.4286,2024-04-24 → 2026-04-27
ITC,0.5514,0.573,False,False,33,8,-0.1846,-0.9984,0.5,1.685,-6.417,0.263,-7.096,0.1899,-0.972,0.443,0.5,2024-03-19 → 2026-04-27
NESTLEIND,0.5085,0.535,False,False,34,5,-0.122,-0.9986,0.2,5.974,-4.553,0.328,-8.02,0.1715,-0.711,0.5464,0.4,2024-04-25 → 2026-04-24
RELIANCE,0.533,0.561,False,False,35,5,-0.107,-0.9967,0.2,3.147,-3.486,0.226,-8.894,0.1342,-0.797,0.4808,0.4,2024-03-07 → 2026-04-27
NAUKRI,0.4939,0.551,False,False,36,7,-0.1976,-0.9996,0.2857,0.392,-4.316,0.036,-9.944,0.1976,-1.0,0.5459,0.2857,2023-12-27 → 2026-04-23
