symbol,strategy,oos_acc_dir,n_oos,n_trades,total_return,win_rate,sharpe,max_dd,precision
RELIANCE,primary_only_0.58,0.49356223175965663,466,40,-0.016645472170789932,0.5,-0.3345474409957976,0.12671698006705903,0.5
RELIANCE,meta_label_thr0.55,0.49356223175965663,466,53,-0.2163434583076156,0.4339622641509434,-4.348345761270058,0.25693950222131334,0.4339622641509434
RELIANCE,meta_label_thr0.60,0.49356223175965663,466,33,-0.04841450790087587,0.5151515151515151,-1.5049998524900872,0.11797131155338238,0.5151515151515151
RELIANCE,meta_label_thr0.65,0.49356223175965663,466,33,-0.04841450790087587,0.5151515151515151,-1.5049998524900872,0.11797131155338238,0.5151515151515151
RELIANCE,primary_0.58_AND_meta_0.60,0.49356223175965663,466,17,-0.11297425659934512,0.4117647058823529,-6.909444092764939,0.12671698006705948,0.4117647058823529
MARUTI,primary_only_0.58,0.46271929824561403,456,79,-0.010316635307312305,0.5443037974683544,-0.20409365077554228,0.21049228773374543,0.5443037974683544
MARUTI,meta_label_thr0.55,0.46271929824561403,456,116,-0.0783294684520216,0.5258620689655172,-0.7076338770041594,0.19362723203014207,0.5258620689655172
MARUTI,meta_label_thr0.60,0.46271929824561403,456,90,-0.021553460006371594,0.5333333333333333,-0.2879103548485032,0.14395370389020537,0.5333333333333333
MARUTI,meta_label_thr0.65,0.46271929824561403,456,9,-0.06079989652579332,0.5555555555555556,-4.3657879807942,0.07624519189740323,0.5555555555555556
MARUTI,primary_0.58_AND_meta_0.60,0.46271929824561403,456,64,0.14260719520993326,0.59375,1.793206072799578,0.11740016245970027,0.59375
LT,primary_only_0.58,0.5571428571428572,490,263,-0.2662323646427769,0.5285171102661597,-1.0893630170849553,0.4136681215528842,0.5285171102661597
LT,meta_label_thr0.55,0.5571428571428572,490,155,-0.2736345170773945,0.5032258064516129,-1.8711723170039902,0.349649582812174,0.5032258064516129
LT,meta_label_thr0.60,0.5571428571428572,490,123,-0.2125875021333815,0.4959349593495935,-1.8510984961915056,0.27007648828729797,0.4959349593495935
LT,meta_label_thr0.65,0.5571428571428572,490,51,-0.07755433586254168,0.5490196078431373,-1.714776005358454,0.15833632579137025,0.5490196078431373
LT,primary_0.58_AND_meta_0.60,0.5571428571428572,490,116,-0.22348569493096526,0.49137931034482757,-2.1404856537115955,0.2631971862090929,0.49137931034482757
BHARTIARTL,primary_only_0.58,0.5577342047930284,459,264,-0.029547674935262003,0.5757575757575758,-0.22230501572229694,0.2835885691572123,0.5757575757575758
BHARTIARTL,meta_label_thr0.55,0.5577342047930284,459,249,-0.020057482629981416,0.5622489959839357,-0.16701732330393076,0.27295628465945654,0.5622489959839357
BHARTIARTL,meta_label_thr0.60,0.5577342047930284,459,137,0.0813133054531332,0.583941605839416,0.42388459261562444,0.12068801623135172,0.583941605839416
BHARTIARTL,meta_label_thr0.65,0.5577342047930284,459,43,0.04372532933475948,0.6744186046511628,0.8223024246885945,0.06055420662934401,0.6744186046511628
BHARTIARTL,primary_0.58_AND_meta_0.60,0.5577342047930284,459,129,0.07475324743794998,0.5968992248062015,0.4165634053128058,0.13798399588357602,0.5968992248062015
ITC,primary_only_0.58,0.5390070921985816,423,50,-0.2529494504645535,0.48,-3.9723635816105585,0.3156960536263304,0.48
ITC,meta_label_thr0.55,0.5390070921985816,423,146,-0.0014165725674128993,0.5205479452054794,-0.12987437509405977,0.22571694114923255,0.5205479452054794
ITC,meta_label_thr0.60,0.5390070921985816,423,97,0.07562500606068734,0.5360824742268041,0.6042979916182438,0.1584917336960767,0.5360824742268041
ITC,meta_label_thr0.65,0.5390070921985816,423,69,0.006847584135465601,0.4782608695652174,0.005034929758577197,0.1281318567114192,0.4782608695652174
ITC,primary_0.58_AND_meta_0.60,0.5390070921985816,423,24,0.006962755395908626,0.5,0.1600936820315281,0.08630055765374378,0.5
ASIANPAINT,primary_only_0.58,0.48484848484848486,528,383,-0.7575219335624798,0.4516971279373368,-3.4965923566245123,0.778146783527067,0.4516971279373368
ASIANPAINT,meta_label_thr0.55,0.48484848484848486,528,165,-0.5303491361695414,0.4303030303030303,-3.8735062730558445,0.5791056972545514,0.4303030303030303
ASIANPAINT,meta_label_thr0.60,0.48484848484848486,528,145,-0.4899657226855333,0.4,-4.109890815795979,0.5411141421804069,0.4
ASIANPAINT,meta_label_thr0.65,0.48484848484848486,528,114,-0.4232932338880774,0.40350877192982454,-4.294475968853333,0.48300414971066397,0.40350877192982454
ASIANPAINT,primary_0.58_AND_meta_0.60,0.48484848484848486,528,118,-0.447326146880787,0.3898305084745763,-4.614491085930702,0.5020019119975017,0.3898305084745763
TITAN,primary_only_0.58,0.5156794425087108,574,536,-0.6038962020929617,0.498134328358209,-1.5681548553362143,0.7127943576476731,0.498134328358209
TITAN,meta_label_thr0.55,0.5156794425087108,574,178,-0.27031002405267435,0.5,-1.4964982521685921,0.3476940758950919,0.5
TITAN,meta_label_thr0.60,0.5156794425087108,574,122,-0.15249781061630774,0.5327868852459017,-1.1295940022491757,0.2162386305091085,0.5327868852459017
TITAN,meta_label_thr0.65,0.5156794425087108,574,66,-0.24146099307044877,0.5,-2.952140867635925,0.2589415179697041,0.5
TITAN,primary_0.58_AND_meta_0.60,0.5156794425087108,574,110,-0.1476021123977901,0.5363636363636364,-1.2937549232592036,0.23333123836882388,0.5363636363636364
SUNPHARMA,primary_only_0.58,0.5548245614035088,456,233,-0.3632928526933351,0.5364806866952789,-2.018058988787123,0.3815789902808729,0.5364806866952789
SUNPHARMA,meta_label_thr0.55,0.5548245614035088,456,181,-0.28205364676337175,0.5414364640883977,-1.9748809958753242,0.3334958603015331,0.5414364640883977
SUNPHARMA,meta_label_thr0.60,0.5548245614035088,456,100,-0.09158298815523835,0.59,-1.0732956981564135,0.17520751361102793,0.59
SUNPHARMA,meta_label_thr0.65,0.5548245614035088,456,34,0.02105929306745713,0.5882352941176471,0.5435436302522924,0.07535750317233417,0.5882352941176471
SUNPHARMA,primary_0.58_AND_meta_0.60,0.5548245614035088,456,85,-0.07555238845474332,0.6,-1.0438200225187688,0.13857860602704722,0.6
NTPC,primary_only_0.58,0.501039501039501,481,369,-0.7614036734846444,0.46612466124661245,-2.933416022029786,0.7734337514186163,0.46612466124661245
NTPC,meta_label_thr0.55,0.501039501039501,481,55,-0.033255373550733935,0.4909090909090909,-0.6307804999904074,0.2002898563613266,0.4909090909090909
NTPC,meta_label_thr0.60,0.501039501039501,481,8,-0.0046562064864523744,0.375,-0.7348304293862431,0.04955940883008032,0.375
NTPC,meta_label_thr0.65,0.501039501039501,481,0,0.0,0.0,0.0,0.0,0.0
NTPC,primary_0.58_AND_meta_0.60,0.501039501039501,481,7,0.011757704732924923,0.42857142857142855,1.6019457478557302,0.03388598263862726,0.42857142857142855
TATASTEEL,primary_only_0.58,0.5375816993464052,612,151,-0.08202701859157024,0.5562913907284768,-0.463302899193919,0.22876060091151432,0.5562913907284768
TATASTEEL,meta_label_thr0.55,0.5375816993464052,612,167,0.16126046828165452,0.5568862275449101,0.6134169766229361,0.21495010630730754,0.5568862275449101
TATASTEEL,meta_label_thr0.60,0.5375816993464052,612,58,-0.1772460522365783,0.5517241379310345,-1.849716964662439,0.2324657004856549,0.5517241379310345
TATASTEEL,meta_label_thr0.65,0.5375816993464052,612,26,-0.18637514025231117,0.4230769230769231,-3.5739184219708515,0.21323084784976654,0.4230769230769231
TATASTEEL,primary_0.58_AND_meta_0.60,0.5375816993464052,612,32,0.022437360699216535,0.59375,0.5188334737761224,0.04282243024993108,0.59375
