symbol,stock_idx,entry_day_idx,exit_day_idx,entry_px,entry_date,entry_score,gross_return,net_return,hold_days_real
HCLTECH,21,121,136,0.8835375150028799,2024-05-13,0.7023501391634352,0.0732483338375125,0.0707483338375125,15
SHREECEM,76,127,139,0.9332646515438983,2024-05-23,0.731732065449887,0.06508462987875574,0.06258462987875574,12
SAIL,63,128,140,1.446876932125156,2024-05-24,0.7346296014114657,-0.10908558627073928,-0.11158558627073928,12
BAJAJ-AUTO,31,125,142,0.9683880636246034,2024-05-17,0.6099960703896151,0.12178666045861197,0.11928666045861197,17
CUMMINSIND,72,136,150,1.0223214273352625,2024-06-06,0.6322249577029958,0.17084118576822105,0.16834118576822105,14
DRREDDY,44,134,151,0.9011931810628099,2024-06-04,0.7189061212589952,0.10341673557518449,0.10091673557518449,17
MUTHOOTFIN,15,139,155,1.3495188063294556,2024-06-11,0.6555340048535617,-0.009388859451606724,-0.011888859451606724,16
MARICO,40,140,158,1.044466592346772,2024-06-12,0.6230935388170273,-0.007424962276910807,-0.009924962276910807,18
AMBUJACEM,75,142,162,1.082458034951016,2024-06-14,0.44274664039479644,-0.011157185269774716,-0.013657185269774717,20
JSWSTEEL,61,152,170,1.3667615481505206,2024-07-03,0.6257920527350167,-0.008974399161103874,-0.011474399161103875,18
ADANIENT,86,152,172,1.2029934949596084,2024-07-03,0.6513480503914516,-0.02741688010091714,-0.02991688010091714,20
MUTHOOTFIN,15,155,172,1.3368483639295283,2024-07-09,0.615917317625066,0.012657531458421412,0.010157531458421411,17
HINDALCO,60,158,174,1.3393805158993604,2024-07-12,0.5123332472341905,-0.1109120296396564,-0.11341202963965641,16
SAIL,63,163,176,1.168704155066681,2024-07-23,0.6014206828315926,-0.056924423076871844,-0.059424423076871846,13
SIEMENS,68,170,186,1.570479446057975,2024-08-01,0.4822619562876998,-0.019740638264170052,-0.02224063826417005,16
INFY,19,175,189,1.2163100380236995,2024-08-08,0.6185555260617372,0.11505031579955283,0.11255031579955282,14
HINDALCO,60,175,190,1.1724022882544294,2024-08-08,0.4822475516111974,0.13319625124763124,0.13069625124763123,15
GAIL,57,176,191,1.81518151310491,2024-08-09,0.44142145926768156,0.035243875600381,0.032743875600381,15
HAL,89,175,191,1.3599640668431316,2024-08-08,0.43904342631616,-0.17087153731908888,-0.1733715373190889,16
SAIL,63,186,199,0.9166173140387733,2024-08-27,0.9283517088154547,-0.0071226744303806155,-0.009622674430380616,13
EXIDEIND,98,189,204,1.0170537005970364,2024-08-30,0.907371265955892,-0.004749488389289902,-0.0072494883892899025,15
RBLBANK,97,190,205,1.147766320243081,2024-09-02,0.6941951179790683,-0.37296167275228753,-0.37546167275228753,15
NAUKRI,93,191,205,1.7318393195867314,2024-09-04,0.6073626642209489,0.07358094547208838,0.07108094547208837,14
HINDALCO,60,191,208,1.2953429460398649,2024-09-04,0.5335540933194645,0.10646169897804492,0.10396169897804491,17
SIEMENS,68,199,212,1.5066507709327626,2024-09-16,0.6449118703762797,0.05720197210362432,0.05470197210362432,13
EXIDEIND,98,205,218,0.8675659471941269,2024-09-24,0.8951635935847042,0.1036408870692056,0.1011408870692056,13
