symbol,strategy,oos_acc_dir,n_oos,n_trades,total_return,win_rate,sharpe,max_dd,precision
TCS,primary_only_0.58,0.5192307692307693,52,24,-0.07142303001644312,0.375,-3.479331926885818,0.135829802370204,0.375
TCS,meta_label_thr0.55,0.5192307692307693,52,23,-0.06495214936249438,0.5652173913043478,-1.8762266413782307,0.17288002279847273,0.5652173913043478
TCS,meta_label_thr0.60,0.5192307692307693,52,0,0.0,0.0,0.0,0.0,0.0
TCS,meta_label_thr0.65,0.5192307692307693,52,0,0.0,0.0,0.0,0.0,0.0
TCS,primary_0.58_AND_meta_0.60,0.5192307692307693,52,0,0.0,0.0,0.0,0.0,0.0
INFY,primary_only_0.58,0.6146788990825688,109,57,0.0814341587429126,0.5263157894736842,0.9654796196731277,0.1598654885670002,0.5263157894736842
INFY,meta_label_thr0.55,0.6146788990825688,109,80,-0.08411194503177977,0.45,-0.780148082726452,0.20729148186942092,0.45
INFY,meta_label_thr0.60,0.6146788990825688,109,80,-0.08411194503177977,0.45,-0.780148082726452,0.20729148186942092,0.45
INFY,meta_label_thr0.65,0.6146788990825688,109,80,-0.08411194503177977,0.45,-0.780148082726452,0.20729148186942092,0.45
INFY,primary_0.58_AND_meta_0.60,0.6146788990825688,109,57,0.0814341587429126,0.5263157894736842,0.9654796196731277,0.1598654885670002,0.5263157894736842
HCLTECH,primary_only_0.58,0.5,172,139,-0.30297264281315284,0.48201438848920863,-1.8669083156389554,0.39503605332679675,0.48201438848920863
HCLTECH,meta_label_thr0.55,0.5,172,121,-0.39000735715475876,0.45454545454545453,-3.1599231847214164,0.4315526722027014,0.45454545454545453
HCLTECH,meta_label_thr0.60,0.5,172,91,-0.2611008122776476,0.46153846153846156,-2.9769038743431486,0.418777764721001,0.46153846153846156
HCLTECH,meta_label_thr0.65,0.5,172,89,-0.2750685786145891,0.449438202247191,-3.214742882787007,0.418777764721001,0.449438202247191
HCLTECH,primary_0.58_AND_meta_0.60,0.5,172,83,-0.1808900634640639,0.4819277108433735,-2.2624722934871007,0.357877260957013,0.4819277108433735
WIPRO,primary_only_0.58,0.48214285714285715,168,21,-0.14039253243619454,0.38095238095238093,-7.069047085780429,0.1323495586189101,0.38095238095238093
WIPRO,meta_label_thr0.55,0.48214285714285715,168,42,-0.31470674156450495,0.3333333333333333,-6.967330373917773,0.301990093824247,0.3333333333333333
WIPRO,meta_label_thr0.60,0.48214285714285715,168,31,-0.19223322479285687,0.3548387096774194,-5.218062460717271,0.1772438966327576,0.3548387096774194
WIPRO,meta_label_thr0.65,0.48214285714285715,168,18,-0.11584630518845351,0.3333333333333333,-4.354008612483011,0.13107334577024965,0.3333333333333333
WIPRO,primary_0.58_AND_meta_0.60,0.48214285714285715,168,16,-0.05639433310960562,0.4375,-3.8063165395658145,0.07400370469545586,0.4375
TECHM,primary_only_0.58,0.44878048780487806,205,82,-0.12650838077503856,0.5,-0.8500831339964621,0.3407968021650913,0.5
TECHM,meta_label_thr0.55,0.44878048780487806,205,112,-0.2796501777096343,0.5089285714285714,-1.6513089638875191,0.4009370599873033,0.5089285714285714
TECHM,meta_label_thr0.60,0.44878048780487806,205,56,-0.30753807950793,0.44642857142857145,-5.411497333119515,0.32948915877797336,0.44642857142857145
