symbol,stock_idx,entry_day_idx,exit_day_idx,entry_px,entry_date,entry_score,gross_return,net_return,hold_days_real
GAIL,57,285,298,1.4294751584748195,2025-01-30,0.694541137955308,-0.017309328441823868,-0.019809328441823867,13
BPCL,53,287,302,1.052729107280714,2025-02-01,0.6239199433243853,-0.038106931450954895,-0.0406069314509549,15
HINDUNILVR,35,294,311,0.9095059512778394,2025-02-11,0.7528671394191121,-0.0523451324356331,-0.054845132435633104,17
BEL,88,298,311,1.218482768940181,2025-02-17,0.6874195057959297,0.12017394644249513,0.11767394644249513,13
BPCL,53,304,317,0.977958085254964,2025-03-03,0.7227476484160659,0.1934001388628761,0.1909001388628761,13
PIDILITIND,79,312,327,1.1377751515291097,2025-03-13,0.6005314571621087,0.12597988947967864,0.12347988947967864,15
BHARTIARTL,64,312,328,1.7817481983720573,2025-03-13,0.5236583562440119,0.2972372538074659,0.2947372538074659,16
HINDUNILVR,35,317,333,0.8828468064379363,2025-03-24,0.9292407594334473,0.03368499426706695,0.03118499426706695,16
M&M,29,328,342,1.4136913535568087,2025-04-16,0.845137475318292,0.1921478202911624,0.1896478202911624,14
INFY,19,328,349,1.0283392147980968,2025-04-16,0.5685322131714841,0.09346036942009506,0.09096036942009506,21
MARICO,40,333,352,1.4416011440883265,2025-04-25,0.7943515965446782,0.002275363342346237,-0.0002246366576537629,19
GAIL,57,343,360,2.2300324582919018,2025-05-14,0.5851520105034633,0.018061534520811495,0.015561534520811495,17
M&M,29,360,370,1.9836969244541507,2025-06-09,0.7579300403246076,0.02030840318939431,0.01780840318939431,10
HINDUNILVR,35,349,370,0.9278075264686372,2025-05-22,0.7646228001644285,-0.007938702738150227,-0.010438702738150228,21
BRITANNIA,38,352,381,1.0025388426983413,2025-05-28,0.8074543410929047,0.23578436252201063,0.23328436252201062,29
SHREECEM,76,370,390,1.2192062472279994,2025-06-24,0.6116430731505843,0.0619450411175706,0.059445041117570596,20
IDFCFIRSTB,7,381,397,0.8342142103417266,2025-07-10,0.8306639846114396,-0.10409115868785723,-0.10659115868785723,16
HDFCBANK,1,370,398,1.6855798415481456,2025-06-24,0.6406584069773719,0.06745477637123543,0.06495477637123542,28
MARICO,40,390,406,1.463570737894343,2025-07-23,0.8839892080711043,-0.03760280597831456,-0.04010280597831456,16
BRITANNIA,38,397,409,1.2320769495385901,2025-08-01,0.7287923400509151,-0.004663102695732446,-0.007163102695732447,12
COFORGE,26,399,413,1.8703233325860726,2025-08-05,0.5356401775738011,-0.039535878249786216,-0.04203587824978622,14
MARICO,40,409,427,1.4662219117495183,2025-08-21,0.6259411926397433,0.00961340324522686,0.007113403245226859,18
ADANIPORTS,87,406,427,0.9738569319299256,2025-08-14,0.6056790813383693,0.11029460976180094,0.10779460976180094,21
IRFC,90,413,428,1.0062729015423744,2025-08-29,0.7203111228054344,-0.06433245586247893,-0.06683245586247893,15
M&M,29,428,443,2.4343821963461467,2025-09-22,0.7720930430741832,-0.024436536616563753,-0.026936536616563752,15
ETERNAL,92,427,444,2.5778555422287384,2025-09-19,0.5416703286893176,0.04082328794448031,0.03832328794448031,17
DIVISLAB,46,427,449,3.8578234393841537,2025-09-19,0.4774275419348588,0.03108770974121855,0.02858770974121855,22
ICICIBANK,2,446,461,1.7388634627213884,2025-10-20,0.5080094320167633,-0.006644469213659243,-0.009144469213659244,15
HCLTECH,21,446,463,1.2640406881991388,2025-10-20,0.567762495362497,0.07149704848742267,0.06899704848742266,17
M&M,29,449,472,2.394481556894982,2025-10-27,0.78567265915526,0.03563892168169658,0.033138921681696576,23
IDFCFIRSTB,7,461,476,0.8240977360849527,2025-11-14,0.7958003136378445,-0.018260775635009274,-0.020760775635009273,15
MARICO,40,472,493,1.5031449179009333,2025-12-02,0.6929526753699382,0.04635115512875965,0.043851155128759645,21
LUPIN,47,467,495,1.5661766343995103,2025-11-24,0.6411745688447159,0.08526837627305417,0.08276837627305417,28
BRITANNIA,38,476,496,1.296217523081561,2025-12-08,0.6382879541042836,0.024535133471272674,0.022035133471272676,20
CUMMINSIND,72,493,508,2.079382159827646,2026-01-05,0.7015280012363655,-0.04577935099645769,-0.04827935099645769,15
RELIANCE,51,495,515,0.960235909115321,2026-01-07,0.5396475397843905,-0.026546456568195986,-0.029046456568195985,20
BHARTIARTL,64,496,521,2.8389320743124755,2026-01-08,0.49038983108235495,-0.1579100699384245,-0.1604100699384245,25
MANAPPURAM,96,508,524,2.518220355114258,2026-01-30,0.604351222994953,-0.14524874984415748,-0.14774874984415748,16
CUMMINSIND,72,515,526,2.1317309511481404,2026-02-10,0.47182319228646064,0.2375364348857727,0.2350364348857727,11
ETERNAL,92,521,532,1.5043863382313052,2026-02-19,0.5869711904616121,-0.1764489308122339,-0.1789489308122339,11
IRFC,90,524,539,0.7961134020759313,2026-02-25,0.6777029353280842,-0.10891803593032545,-0.11141803593032545,15
ADANIPORTS,87,526,540,1.1883966635744454,2026-02-27,0.6765131702063849,-0.09693839457651332,-0.09943839457651332,14
