symbol,strategy,n_trades,total_return,win_rate,sharpe,max_dd
KOTAKBANK,primary_only_0.58,38,0.09216970428213234,0.631578947368421,1.5809996316603503,0.136937575975225
KOTAKBANK,primary_meta_0.58_0.60,29,-0.01694584552265954,0.6206896551724138,-0.3744829377295478,0.14514996745933698
KOTAKBANK,primary_meta_0.55_0.60,34,-0.06495260319070528,0.5588235294117647,-1.3403746817253535,0.1961420075774533
KOTAKBANK,primary_meta_0.60_0.65,23,-0.02759656791865095,0.6086956521739131,-0.8657377243891936,0.12213043568856727
KOTAKBANK,PRIM+META+REGIME_gate,16,0.029418513341051833,0.75,1.2245042063060292,0.05599668631553639
KOTAKBANK,PRIM+META+REGIME_0.55,19,-0.00396371861889,0.631578947368421,-0.14135666116483955,0.0740429291469256
TCS,primary_only_0.58,167,-0.5111289464163631,0.40718562874251496,-3.508023336940055,0.5149817862651537
TCS,primary_meta_0.58_0.60,123,-0.47079777858530547,0.4065040650406504,-3.9032848589300455,0.4671142963275104
TCS,primary_meta_0.55_0.60,139,-0.5646254115360707,0.38848920863309355,-4.632340151140085,0.5615950112331116
TCS,primary_meta_0.60_0.65,90,-0.3784675481989457,0.4222222222222222,-3.9896670883839644,0.4091839411191445
TCS,PRIM+META+REGIME_gate,106,-0.36058264587959277,0.39622641509433965,-3.181027603394361,0.35613201739785183
TCS,PRIM+META+REGIME_0.55,120,-0.4542358838248841,0.38333333333333336,-3.9014787694396538,0.4504371234313654
INFY,primary_only_0.58,217,0.2392233797742076,0.5345622119815668,0.7184092299852884,0.21467049833796117
INFY,primary_meta_0.58_0.60,158,0.4553136864709959,0.5759493670886076,1.702775577684473,0.15300164503176983
INFY,primary_meta_0.55_0.60,181,0.20412911437811765,0.5469613259668509,0.7338803355529827,0.1847121642138962
INFY,primary_meta_0.60_0.65,97,0.24985656645413212,0.5979381443298969,1.6268222631732618,0.1449880372693173
INFY,PRIM+META+REGIME_gate,124,0.3961383770027569,0.5806451612903226,2.0078302088304167,0.12046393688826477
INFY,PRIM+META+REGIME_0.55,141,0.2577831256311367,0.5602836879432624,1.2099911921651076,0.1251125619894316
HCLTECH,primary_only_0.58,228,-0.3056149593219414,0.5307017543859649,-1.2399607922755125,0.41622005646663557
HCLTECH,primary_meta_0.58_0.60,146,-0.1799469146312973,0.5273972602739726,-1.1050866277066163,0.35435394724359864
HCLTECH,primary_meta_0.55_0.60,169,-0.08078143085076461,0.5443786982248521,-0.4390765809070345,0.34942665125156835
HCLTECH,primary_meta_0.60_0.65,65,0.216947056662254,0.6307692307692307,2.3655235875984806,0.1228679527049473
HCLTECH,PRIM+META+REGIME_gate,118,-0.16661217384703508,0.5169491525423728,-1.3188186163776985,0.2842072314278728
HCLTECH,PRIM+META+REGIME_0.55,135,-0.11939672071372398,0.5259259259259259,-0.8278700875151261,0.29419423691387875
WIPRO,primary_only_0.58,139,-0.4058922019321781,0.460431654676259,-2.975174039398135,0.46220769224553127
WIPRO,primary_meta_0.58_0.60,75,-0.14095383670577855,0.49333333333333335,-1.5799722174139303,0.230702845090195
WIPRO,primary_meta_0.55_0.60,108,-0.025611995254629427,0.5185185185185185,-0.23146420447442334,0.15372334168268095
WIPRO,primary_meta_0.60_0.65,24,-0.03745030703697749,0.5416666666666666,-1.7909788118661107,0.055524874720509716
WIPRO,PRIM+META+REGIME_gate,69,-0.0101726040130804,0.5072463768115942,-0.21062544759075721,0.12577293262687325
WIPRO,PRIM+META+REGIME_0.55,98,0.08255586922234404,0.5204081632653061,0.6414193051647145,0.1291278210938561
TECHM,primary_only_0.58,178,-0.21922665181433543,0.5224719101123596,-1.2030967224968614,0.43361717448975673
TECHM,primary_meta_0.58_0.60,99,-0.07066437915648238,0.5050505050505051,-0.5585148228264576,0.33950496456274637
TECHM,primary_meta_0.55_0.60,127,0.08857655902266326,0.5433070866141733,0.4775655333872224,0.32782538055299204
TECHM,primary_meta_0.60_0.65,39,-0.061137716604354964,0.5641025641025641,-1.3526459893235026,0.20581957312284305
TECHM,PRIM+META+REGIME_gate,89,-0.0005672613472015309,0.4943820224719101,-0.04316898988647406,0.2512159138299511
TECHM,PRIM+META+REGIME_0.55,114,0.07482857626397355,0.5350877192982456,0.4649373239867577,0.23796734416689605
RELIANCE,primary_only_0.58,200,-0.6315968971020323,0.45,-4.6519186834809565,0.6498015078529339
RELIANCE,primary_meta_0.58_0.60,47,-0.0433323030049475,0.5319148936170213,-1.0601297073072664,0.10896959831162657
RELIANCE,primary_meta_0.55_0.60,47,-0.0433323030049475,0.5319148936170213,-1.0601297073072664,0.10896959831162657
RELIANCE,primary_meta_0.60_0.65,20,-0.04959447507541803,0.55,-2.339246013359543,0.10699271259365394
RELIANCE,PRIM+META+REGIME_gate,38,-0.049404662822713385,0.5,-1.4117445683820857,0.1227743661020006
RELIANCE,PRIM+META+REGIME_0.55,38,-0.049404662822713385,0.5,-1.4117445683820857,0.1227743661020006
MARUTI,primary_only_0.58,232,-0.383682119914879,0.4956896551724138,-1.7886961433519495,0.471601671309125
MARUTI,primary_meta_0.58_0.60,65,-0.005642267836464376,0.5230769230769231,-0.15112850087375526,0.1153211726702088
MARUTI,primary_meta_0.55_0.60,82,0.05646271455033691,0.5365853658536586,0.5092381614668077,0.11050595972295653
MARUTI,primary_meta_0.60_0.65,17,0.05897566800816523,0.5882352941176471,2.319612362294713,0.05213940989007712
MARUTI,PRIM+META+REGIME_gate,50,0.04106526083169615,0.54,0.6378120329284329,0.08674206821230863
MARUTI,PRIM+META+REGIME_0.55,64,0.105233687347011,0.546875,1.2915869865107157,0.07332846884094651
LT,primary_only_0.58,194,-0.23989777852988947,0.5257731958762887,-1.2191971655147713,0.42594041855795367
LT,primary_meta_0.58_0.60,120,-0.042641376429111255,0.525,-0.38042142826947134,0.23221334527736787
LT,primary_meta_0.55_0.60,141,-0.11927000538577615,0.5390070921985816,-0.8830920255091121,0.2396756926097666
LT,primary_meta_0.60_0.65,44,0.0034715713098600887,0.5454545454545454,0.01108856578618438,0.08950010282466517
LT,PRIM+META+REGIME_gate,94,-0.09564938201097695,0.46808510638297873,-1.0869716330880361,0.2041685044472726
LT,PRIM+META+REGIME_0.55,114,-0.17311657087706367,0.49122807017543857,-1.7059552924207597,0.2119034279463296
BHARTIARTL,primary_only_0.58,273,0.038372757011141845,0.5787545787545788,0.027084722316095634,0.26522850987020535
BHARTIARTL,primary_meta_0.58_0.60,183,-0.037409626775466664,0.5573770491803278,-0.2919190170848295,0.17690048435615038
