symbol,entry_date,exit_date,hold_days,gross_return,net_return,weight
HCLTECH,2024-08-22,2024-08-27,5,0.021149729359891678,0.01864972935989168,0.2
LT,2024-08-19,2024-08-29,10,0.023784535049093947,0.021284535049093948,0.2
BHARTIARTL,2024-08-23,2024-08-29,6,0.03291848852087664,0.030418488520876644,0.2
ITC,2024-08-27,2024-09-04,8,-0.004133606895583397,-0.006633606895583398,0.2
SBIN,2024-08-27,2024-09-05,9,0.003493055706053738,0.0009930557060537381,0.2
LT,2024-08-29,2024-09-05,7,-0.01609907572256597,-0.01859907572256597,0.2
ASIANPAINT,2024-08-27,2024-09-09,13,0.03617911562716869,0.03367911562716869,0.2
TITAN,2024-08-30,2024-09-09,10,0.04423382614745286,0.04173382614745286,0.2
LT,2024-09-05,2024-09-11,6,-0.024060755464341277,-0.026560755464341276,0.2
TCS,2024-09-05,2024-09-11,6,0.0007597416647906474,-0.0017402583352093526,0.2
LT,2024-09-11,2024-09-18,7,0.04474189607789825,0.042241896077898244,0.2
NTPC,2024-09-13,2024-09-18,5,0.03176373615460193,0.02926373615460193,0.2
ITC,2024-09-04,2024-09-19,15,-0.07216088613096516,-0.07466088613096517,0.2
MARUTI,2024-09-12,2024-09-20,8,0.017228734946966417,0.014728734946966417,0.2
HCLTECH,2024-09-18,2024-09-23,5,-0.002106362839429554,-0.004606362839429555,0.2
LT,2024-09-18,2024-09-27,9,-0.035488826824298436,-0.03798882682429844,0.2
TECHM,2024-09-13,2024-09-30,17,-0.006220970615058108,-0.008720970615058108,0.2
INFY,2024-09-19,2024-09-30,11,-0.009819421295350073,-0.012319421295350073,0.2
NTPC,2024-09-20,2024-09-30,10,-0.11472210049809117,-0.11722210049809118,0.2
HCLTECH,2024-09-23,2024-10-07,14,0.006863695063720421,0.00436369506372042,0.2
TCS,2024-09-27,2024-10-07,10,-0.012807246618247392,-0.015307246618247393,0.2
TECHM,2024-09-30,2024-10-08,8,0.03290643644564528,0.030406436445645283,0.2
TITAN,2024-10-01,2024-10-09,8,-0.07481560335890747,-0.07731560335890747,0.2
INFY,2024-09-30,2024-10-10,10,0.0312966231852394,0.028796623185239404,0.2
LT,2024-10-07,2024-10-11,4,0.01713808494331137,0.01463808494331137,0.2
NTPC,2024-10-07,2024-10-16,9,0.012641968303515716,0.010141968303515716,0.2
TITAN,2024-10-10,2024-10-16,6,0.006889541305779234,0.004389541305779234,0.2
BHARTIARTL,2024-10-10,2024-10-16,6,-0.052302359064330006,-0.05480235906433001,0.2
ASIANPAINT,2024-10-10,2024-10-17,7,-0.010165704229215144,-0.012665704229215145,0.2
TECHM,2024-10-11,2024-10-22,11,0.04210078914260351,0.03960078914260351,0.2
INFY,2024-10-16,2024-10-22,6,-0.03567538274197579,-0.038175382741975794,0.2
TCS,2024-10-17,2024-10-23,6,0.0025142809620759543,1.4280962075954255e-05,0.2
LT,2024-10-16,2024-10-24,8,-0.02546284557384093,-0.02796284557384093,0.2
NTPC,2024-10-16,2024-10-25,9,-0.0200354248477429,-0.0225354248477429,0.2
ASIANPAINT,2024-10-22,2024-10-25,3,-0.01624625799547308,-0.018746257995473078,0.2
LT,2024-10-24,2024-10-29,5,-0.017936770684107817,-0.020436770684107815,0.2
TCS,2024-10-23,2024-11-01,9,-0.020178308430720437,-0.022678308430720436,0.2
RELIANCE,2024-10-30,2024-11-05,6,-0.028722346967751333,-0.031222346967751332,0.2
TITAN,2024-10-30,2024-11-05,6,-0.023636435902045005,-0.026136435902045004,0.2
INFY,2024-10-30,2024-11-07,8,0.011986010218944854,0.009486010218944853,0.2
LT,2024-10-30,2024-11-08,9,0.07392136154273699,0.07142136154273698,0.2
AXISBANK,2024-11-06,2024-11-12,6,-0.007158082776695385,-0.009658082776695385,0.2
TCS,2024-11-05,2024-11-14,9,0.0439522132559258,0.041452213255925796,0.2
HCLTECH,2024-11-04,2024-11-19,15,0.062338783812953436,0.05983878381295343,0.2
INFY,2024-11-07,2024-11-19,12,0.03410882108458435,0.03160882108458435,0.2
LT,2024-11-12,2024-11-19,7,-0.023793340664072016,-0.026293340664072015,0.2
INFY,2024-11-19,2024-11-27,8,0.054665020878959636,0.052165020878959634,0.2
BHARTIARTL,2024-11-08,2024-11-28,20,-0.011312003343569743,-0.013812003343569744,0.2
TCS,2024-11-14,2024-11-28,14,0.00309478845533806,0.00059478845533806,0.2
HCLTECH,2024-11-19,2024-12-02,13,0.032606514845862744,0.030106514845862745,0.2
NTPC,2024-11-19,2024-12-03,14,0.025887093585152288,0.02338709358515229,0.2
TCS,2024-11-28,2024-12-04,6,0.025795509082182644,0.023295509082182645,0.2
INFY,2024-11-27,2024-12-05,8,0.005378013622341804,0.002878013622341804,0.2
ASIANPAINT,2024-11-28,2024-12-06,8,-0.011533558366947139,-0.01403355836694714,0.2
HCLTECH,2024-12-02,2024-12-09,7,0.020518389904714773,0.018018389904714775,0.2
BHARTIARTL,2024-12-04,2024-12-10,6,-0.0034403420216699843,-0.005940342021669985,0.2
NTPC,2024-12-03,2024-12-11,8,-0.005306777111407812,-0.007806777111407813,0.2
INFY,2024-12-05,2024-12-12,7,0.013635877835527443,0.011135877835527443,0.2
ASIANPAINT,2024-12-06,2024-12-12,6,-0.016524667354952505,-0.019024667354952503,0.2
RELIANCE,2024-12-09,2024-12-12,3,-0.024900585872200898,-0.027400585872200896,0.2
BHARTIARTL,2024-12-10,2024-12-16,6,0.03709319967567737,0.034593199675677366,0.2
NTPC,2024-12-11,2024-12-16,5,-0.034473389242995145,-0.03697338924299515,0.2
ASIANPAINT,2024-12-12,2024-12-18,6,-0.0184554221167631,-0.020955422116763097,0.2
LT,2024-12-12,2024-12-18,6,-0.02636078687635357,-0.02886078687635357,0.2
NTPC,2024-12-16,2024-12-23,7,-0.04392175173914059,-0.04642175173914059,0.2
TITAN,2024-12-16,2024-12-23,7,-0.01199755395277613,-0.01449755395277613,0.2
TATASTEEL,2024-12-18,2024-12-23,5,-0.019036426106276094,-0.021536426106276093,0.2
SUNPHARMA,2024-12-16,2024-12-27,11,0.007459341787312779,0.004959341787312778,0.2
ASIANPAINT,2024-12-18,2025-01-01,14,-0.01625414564426919,-0.01875414564426919,0.2
TCS,2024-12-23,2025-01-01,9,-0.011026062772601541,-0.013526062772601542,0.2
NTPC,2024-12-23,2025-01-01,9,0.0,-0.0025,0.2
TITAN,2024-12-23,2025-01-01,9,-0.04212595890805326,-0.044625958908053265,0.2
ASIANPAINT,2025-01-01,2025-01-07,6,-0.005228519238678397,-0.007728519238678398,0.2
TCS,2025-01-01,2025-01-08,7,-0.0009848807112807778,-0.003484880711280778,0.2
INFY,2024-12-27,2025-01-09,13,0.008556141948274254,0.0060561419482742535,0.2
NTPC,2025-01-01,2025-01-09,8,-0.02472656654317773,-0.02722656654317773,0.2
HDFCBANK,2025-01-03,2025-01-13,10,-0.046535455581831586,-0.04903545558183159,0.2
ASIANPAINT,2025-01-07,2025-01-13,6,-0.017425671765689765,-0.019925671765689764,0.2
TCS,2025-01-08,2025-01-15,7,0.03436869462058367,0.03186869462058367,0.2
INFY,2025-01-09,2025-01-15,6,0.01687263221990709,0.01437263221990709,0.2
NTPC,2025-01-09,2025-01-17,8,0.003121551406515044,0.000621551406515044,0.2
HDFCBANK,2025-01-13,2025-01-20,7,0.006992869602490348,0.004492869602490348,0.2
ASIANPAINT,2025-01-16,2025-01-23,7,0.018611673627014325,0.016111673627014326,0.2
SBIN,2025-01-17,2025-01-24,7,-0.026109085729768666,-0.028609085729768665,0.2
HDFCBANK,2025-01-20,2025-01-27,7,-0.012990166659247682,-0.015490166659247682,0.2
INFY,2025-01-16,2025-01-28,12,-0.05113366348574344,-0.053633663485743444,0.2
TATASTEEL,2025-01-23,2025-01-28,5,-0.013423350529940148,-0.015923350529940147,0.2
SBIN,2025-01-24,2025-01-29,5,0.019216526552520152,0.016716526552520154,0.2
NTPC,2025-01-17,2025-01-30,13,0.0016890933361159988,-0.0008109066638840013,0.2
