symbol,fold_combo,n_train,n_test,n_trades,total_ret,win_rate,sharpe
BEL,0+3,757,386,33,4.3846229622445305,0.6363636363636364,1.089
BEL,0+4,757,386,32,5.885310051920891,0.5625,0.946
BEL,0+5,762,386,35,9.445258379066496,0.5428571428571428,0.886
BEL,1+2,762,386,29,1.3718912703180646,0.6551724137931034,2.013
BEL,1+4,752,386,18,0.5234558133559957,0.4444444444444444,1.433
BEL,1+5,757,386,27,1.9403546730760959,0.7037037037037037,2.845
BEL,2+3,762,386,22,0.7689553598645666,0.7272727272727273,2.571
BEL,2+4,752,386,35,1.368426924978071,0.5428571428571428,1.534
BEL,2+5,757,386,28,1.972848792724224,0.6785714285714286,2.868
BEL,3+4,762,386,27,1.413700210819389,0.6296296296296297,2.155
BEL,3+5,757,386,30,2.0561526083923023,0.6333333333333333,2.093
BERGEPAINT,0+2,811,412,27,0.5524124995961708,0.5185185185185185,1.066
BERGEPAINT,0+4,811,412,13,0.5035109612127755,0.6153846153846154,2.195
BERGEPAINT,0+5,814,414,11,0.29566176817973755,0.5454545454545454,1.652
BERGEPAINT,1+2,816,412,28,-0.11817239423762638,0.5714285714285714,-0.045
BERGEPAINT,1+3,806,412,19,-0.13124628076976597,0.631578947368421,-0.258
BERGEPAINT,1+4,806,412,12,0.016743205518118254,0.5,0.264
BERGEPAINT,2+3,816,412,29,-0.1553055447606133,0.4827586206896552,-0.297
BERGEPAINT,2+4,806,412,33,-0.13211082604694346,0.3939393939393939,-0.09
BERGEPAINT,2+5,809,414,35,-0.36814674270450376,0.42857142857142855,-1.036
BERGEPAINT,3+4,816,412,27,0.054023844953474454,0.4444444444444444,0.315
BHARTIARTL,0+1,702,352,30,0.6523118577996971,0.5666666666666667,1.203
BHARTIARTL,0+2,692,352,35,1.0856510086288265,0.6,1.0
BHARTIARTL,0+3,692,352,35,1.7551981027764763,0.6571428571428571,1.096
BHARTIARTL,0+4,692,352,17,2.3525852936008174,0.7058823529411765,1.445
BHARTIARTL,0+5,694,355,23,4.288755600157449,0.6086956521739131,1.169
BHARTIARTL,1+2,697,352,17,0.6719994902132673,0.5882352941176471,2.12
BHARTIARTL,1+5,689,355,22,3.1537262625450015,0.5454545454545454,1.499
BHARTIARTL,2+3,697,352,25,0.4332027871775006,0.68,1.647
BHARTIARTL,2+4,687,352,14,0.38824887036805156,0.7142857142857143,2.728
BHARTIARTL,2+5,689,355,20,0.20982526697879234,0.55,1.123
BHARTIARTL,3+5,689,355,28,0.31098817888076025,0.5714285714285714,1.204
BHEL,0+2,933,472,29,-0.14600086777497845,0.3793103448275862,0.055
BHEL,0+3,933,472,9,0.43214770047301343,0.6666666666666666,1.882
BHEL,0+5,934,476,21,0.3560485327029155,0.5238095238095238,0.97
BHEL,1+5,929,476,20,0.050450854536240985,0.5,0.422
BHEL,2+5,929,476,26,6.032762965786268,0.5769230769230769,1.148
BHEL,4+5,939,476,15,0.8667315824823378,0.5333333333333333,2.906
BOSCHLTD,0+1,836,420,35,-0.2676995953921385,0.4,-0.295
BOSCHLTD,0+2,826,420,24,-0.3422661104360776,0.3333333333333333,-1.626
BOSCHLTD,0+3,826,420,28,-0.38516759087545094,0.2857142857142857,-1.508
BOSCHLTD,0+4,826,420,16,0.3576780704677591,0.5625,1.157
BOSCHLTD,0+5,830,421,26,0.5478090924795898,0.4230769230769231,0.728
BOSCHLTD,1+2,831,420,12,0.1591159499539414,0.5,0.999
BPCL,0+5,746,380,8,-0.10214011413282886,0.375,0.035
BPCL,2+3,748,378,8,-0.07901979782295854,0.375,-1.064
BPCL,3+5,741,380,9,0.491029929617945,0.8888888888888888,5.903
BRITANNIA,0+2,651,332,12,0.4978076876014603,0.6666666666666666,3.634
BRITANNIA,0+3,651,332,14,0.7148664180692346,0.6428571428571429,2.784
BRITANNIA,0+4,651,332,17,0.8807458696803927,0.5882352941176471,2.036
BRITANNIA,1+2,656,332,11,0.2977469212702142,0.5454545454545454,1.973
BRITANNIA,1+3,646,332,20,0.3797599486198673,0.6,1.645
BRITANNIA,1+4,646,332,19,0.6931773824813818,0.631578947368421,1.56
BRITANNIA,1+5,649,334,21,0.6123986409173596,0.5714285714285714,1.503
BRITANNIA,2+3,656,332,22,0.3127856451010069,0.5,1.277
BRITANNIA,2+4,646,332,27,0.210595149631833,0.5555555555555556,0.771
BRITANNIA,2+5,649,334,19,0.49951616879170024,0.47368421052631576,1.705
BRITANNIA,3+4,656,332,19,0.21245331901800335,0.5263157894736842,1.093
BRITANNIA,3+5,649,334,17,0.5489308288783101,0.5882352941176471,2.53
CHOLAFIN,0+1,787,394,20,0.5500837757811494,0.7,1.104
CHOLAFIN,0+3,777,394,20,0.07156491822451794,0.5,0.502
CHOLAFIN,0+4,777,394,22,-0.031616927706903386,0.5909090909090909,0.342
CHOLAFIN,0+5,778,398,20,3.258725999230607,0.45,1.091
CHOLAFIN,1+3,772,394,6,0.589056947414764,0.6666666666666666,4.125
CHOLAFIN,1+4,772,394,21,1.9189728831099608,0.6666666666666666,1.508
CHOLAFIN,2+3,782,394,18,0.09061471390789944,0.4444444444444444,0.492
CHOLAFIN,2+4,772,394,23,1.2667477073171902,0.5652173913043478,1.509
CHOLAFIN,2+5,773,398,25,0.20947791177530606,0.52,0.703
CHOLAFIN,3+4,782,394,24,0.017868440435979904,0.375,0.25
CHOLAFIN,4+5,783,398,18,0.17648003194311834,0.5,0.843
CIPLA,0+1,691,348,20,0.1503461118440259,0.5,0.524
CIPLA,0+2,681,348,17,0.5513831912065073,0.6470588235294118,1.168
CIPLA,0+4,681,348,20,0.44515615752386317,0.6,1.103
CIPLA,0+5,686,348,26,0.3378679786844674,0.46153846153846156,0.761
CIPLA,1+2,686,348,16,0.523423545655771,0.625,2.402
CIPLA,1+4,676,348,22,0.6867592843070309,0.5,1.282
CIPLA,1+5,681,348,17,0.48906480328164736,0.35294117647058826,1.081
CIPLA,2+3,686,348,18,0.20710695617205577,0.6111111111111112,0.906
CIPLA,2+5,681,348,23,0.1512037502347281,0.391304347826087,0.582
CIPLA,3+5,681,348,11,-0.06663680914275272,0.5454545454545454,-0.422
