symbol,stock_idx,entry_day_idx,exit_day_idx,entry_px,entry_date,entry_score,gross_return,net_return,hold_days_real
TECHM,9,156,157,1.7567296871931026,2024-08-14,0.4092973459319682,0.046083761116341826,0.043583761116341824,1
LT,12,157,158,0.9278487702542342,2024-08-19,0.5441707015349794,0.004964741298134179,0.0024647412981341787,1
BHARTIARTL,13,157,158,1.808187726213339,2024-08-19,0.5255049079892594,-0.013948922740870562,-0.01644892274087056,1
LT,12,157,158,0.9278487702542342,2024-08-19,0.49280342010106853,0.004964741298134179,0.0024647412981341787,1
BHARTIARTL,13,157,158,1.808187726213339,2024-08-19,0.40316157891983984,-0.013948922740870562,-0.01644892274087056,1
BHARTIARTL,13,158,159,1.7829654553193988,2024-08-20,0.5495041402115519,0.009867819766828712,0.007367819766828711,1
ASIANPAINT,15,157,159,1.0658503399153767,2024-08-19,0.4461951560085141,0.008744231509591804,0.006244231509591804,2
BHARTIARTL,13,158,159,1.7829654553193988,2024-08-20,0.4023459584099109,0.009867819766828712,0.007367819766828711,1
BHARTIARTL,13,159,160,1.8005594370829723,2024-08-21,0.5423825058244984,0.015647912094935545,0.013147912094935545,1
BHARTIARTL,13,159,160,1.8005594370829723,2024-08-21,0.4262654825484309,0.015647912094935545,0.013147912094935545,1
BHARTIARTL,13,160,161,1.8287344328761532,2024-08-22,0.5356283303049623,0.013724954826950242,0.011224954826950241,1
HCLTECH,7,160,161,1.1160671471376955,2024-08-22,0.3613203732557806,-0.008770099117823782,-0.011270099117823782,1
LT,12,158,162,0.9324552993623384,2024-08-20,0.5705594426002969,0.00723540770701292,0.004735407707012919,4
BHARTIARTL,13,161,162,1.853833730357867,2024-08-23,0.5144520627014249,0.004513043622466295,0.002013043622466295,1
LT,12,158,162,0.9324552993623384,2024-08-20,0.5123531071694454,0.00723540770701292,0.004735407707012919,4
SBIN,0,163,164,0.9352718797781261,2024-08-27,0.3678187551825385,-0.007966685214899627,-0.010466685214899627,1
LT,12,162,165,0.9392019936217897,2024-08-26,0.5799751906869447,0.011408864441923239,0.008908864441923238,3
ITC,14,163,165,1.4746200218172347,2024-08-27,0.476983668371762,-0.006592047951405222,-0.009092047951405223,2
LT,12,165,166,0.9499172218506048,2024-08-29,0.5913358008901755,0.005755485298669649,0.003255485298669649,1
ITC,14,165,166,1.4648992559233134,2024-08-29,0.535247770646645,-0.006335433149346148,-0.008835433149346148,1
ASIANPAINT,15,163,166,1.0801682679356424,2024-08-27,0.39367786426961654,-0.012443885636549523,-0.014943885636549524,3
WIPRO,8,164,166,1.2090351191985569,2024-08-28,0.36253601210021646,0.007108202399704444,0.004608202399704444,2
TITAN,16,166,167,1.047787282685661,2024-08-30,0.49517823494759433,0.006283107010015998,0.003783107010015998,1
TITAN,16,166,167,1.047787282685661,2024-08-30,0.43933130595451403,0.006283107010015998,0.003783107010015998,1
LT,12,166,168,0.9553844564559191,2024-08-30,0.6571983050349774,-0.014535752679553204,-0.017035752679553203,2
ITC,14,166,168,1.4556184846168843,2024-08-30,0.5792137391032858,0.008866360139139218,0.006366360139139217,2
RELIANCE,10,167,168,0.735801465447939,2024-09-02,0.4402300135023502,-0.001121187056695172,-0.003621187056695172,1
