symbol,model,oos_acc,n_oos,n_trades,total_return,win_rate,sharpe,max_dd,precision
NTPC,B1_alwaysUP_BASE_bin_0.4%,0.5059422750424448,589,589,-0.7384056402012392,0.5059422750424448,-1.9399478826332046,0.7828356366071628,0.5059422750424448
NTPC,B2_momentum5_BASE_bin_0.4%,0.49575551782682514,589,289,-0.44128382670147925,0.5017301038062284,-1.9391791669044431,0.509071832455183,0.5017301038062284
NTPC,B3_AR1_BASE_bin_0.4%,0.4533106960950764,589,302,-0.5275901513855827,0.4602649006622517,-2.332864704349676,0.5940627053258021,0.4602649006622517
TATASTEEL,LGBM_BASE_bin_0.4%,0.5409604519774012,708,32,-0.010687922078514767,0.5625,-0.1546354539093206,0.1220257762865861,0.5625
TATASTEEL,B1_alwaysUP_BASE_bin_0.4%,0.5338983050847458,708,708,-0.6141647768797631,0.5338983050847458,0.06264982023500588,0.7307931160195866,0.5338983050847458
TATASTEEL,B2_momentum5_BASE_bin_0.4%,0.4858757062146893,708,392,-0.3943364471863915,0.5178571428571429,0.283414902409703,0.5474555413866085,0.5178571428571429
TATASTEEL,B3_AR1_BASE_bin_0.4%,0.4985875706214689,708,377,-0.3819496612445574,0.5305039787798409,0.3048984885508506,0.5725340480332048,0.5305039787798409
SBIN,LGBM_V1_vol_0.5sigma,0.5144356955380578,381,45,-0.12447759205410591,0.4888888888888889,-2.037357784568734,0.12392398172029295,0.4888888888888889
HDFCBANK,LGBM_V1_vol_0.5sigma,0.4684931506849315,365,0,0.0,0.0,0.0,0.0,0.0
ICICIBANK,LGBM_V1_vol_0.5sigma,0.5372340425531915,376,67,0.08184382771157828,0.5074626865671642,0.8881090483302213,0.10653996896499855,0.5074626865671642
AXISBANK,LGBM_V1_vol_0.5sigma,0.5365239294710328,397,39,0.11439046071909931,0.6153846153846154,1.8737234405018353,0.12278535373359054,0.6153846153846154
KOTAKBANK,LGBM_V1_vol_0.5sigma,0.5167958656330749,387,14,0.021638968882185194,0.6428571428571429,1.0018218524947167,0.08237775725928614,0.6428571428571429
TCS,LGBM_V1_vol_0.5sigma,0.43508771929824563,285,28,-0.3089790132670315,0.21428571428571427,-12.121061200474594,0.28862345864829125,0.21428571428571427
INFY,LGBM_V1_vol_0.5sigma,0.4701298701298701,385,95,-0.4140873774718381,0.42105263157894735,-3.7481717616712524,0.49189356602198975,0.42105263157894735
HCLTECH,LGBM_V1_vol_0.5sigma,0.5159574468085106,376,55,0.15385357694100033,0.6,1.9727451240037595,0.06796217221398436,0.6
WIPRO,LGBM_V1_vol_0.5sigma,0.5346260387811634,361,16,-0.15444817099845132,0.375,-5.992891735746555,0.21377930540239115,0.375
TECHM,LGBM_V1_vol_0.5sigma,0.5051020408163265,392,70,0.113252272543922,0.5714285714285714,1.0175946988608775,0.1436979152446587,0.5714285714285714
RELIANCE,LGBM_V1_vol_0.5sigma,0.4751958224543081,383,0,0.0,0.0,0.0,0.0,0.0
MARUTI,LGBM_V1_vol_0.5sigma,0.4822888283378747,367,15,-0.08857475320781005,0.3333333333333333,-5.5389545855789715,0.08041344743948246,0.3333333333333333
LT,LGBM_V1_vol_0.5sigma,0.5079365079365079,378,43,-0.09789736109384872,0.4418604651162791,-2.984399921671653,0.14516794002644917,0.4418604651162791
BHARTIARTL,LGBM_V1_vol_0.5sigma,0.5638297872340425,376,73,0.2098933265624945,0.6712328767123288,2.4237392867330074,0.06469199035467955,0.6712328767123288
ITC,LGBM_V1_vol_0.5sigma,0.4838709677419355,372,64,-0.28214937718892497,0.453125,-3.9762449251653944,0.2648295341799415,0.453125
ASIANPAINT,LGBM_V1_vol_0.5sigma,0.48655256723716384,409,17,0.8549828909281343,0.7058823529411765,4.060912990032794,0.07858961957298187,0.7058823529411765
TITAN,LGBM_V1_vol_0.5sigma,0.5223529411764706,425,0,0.0,0.0,0.0,0.0,0.0
