symbol,oos_accuracy,tradeable,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
ICICIGI,0.5195,True,21,0.0266,0.3705,0.5238,1.459,-1.306,1.229,0.993,0.0635,0.419,0.4938,0.5238,2024-05-15 → 2026-04-09
BAJFINANCE,0.5124,True,26,0.0311,0.3459,0.5,1.534,-1.264,1.213,0.949,0.0608,0.512,0.503,0.5385,2024-05-07 → 2026-04-10
ASIANPAINT,0.5291,True,32,0.0291,0.2534,0.5,1.31,-1.106,1.184,0.779,0.0625,0.465,0.4762,0.5312,2024-01-08 → 2026-04-09
MUTHOOTFIN,0.5298,True,29,0.0232,0.22,0.5862,1.346,-1.675,1.138,0.609,0.0525,0.441,0.5664,0.5862,2024-04-23 → 2026-04-09
SIEMENS,0.5265,True,34,0.0308,0.2518,0.5588,1.901,-2.137,1.127,0.608,0.085,0.362,0.5526,0.5882,2024-02-15 → 2026-04-10
BEL,0.5038,True,60,0.0242,0.1056,0.5667,2.136,-2.54,1.1,0.373,0.2005,0.121,0.4958,0.5833,2024-05-06 → 2026-04-09
ADANIENT,0.5189,True,31,0.0084,0.0707,0.5484,1.912,-2.185,1.063,0.221,0.1385,0.061,0.4718,0.5484,2023-12-22 → 2026-04-10
TATAPOWER,0.5,True,32,0.003,0.024,0.5625,2.2,-2.683,1.054,0.191,0.2335,0.013,0.5339,0.5625,2023-11-13 → 2026-04-10
TITAN,0.523,True,10,0.0011,0.0284,0.6,0.901,-1.306,1.035,-0.091,0.0312,0.036,0.5041,0.6,2024-01-03 → 2026-04-10
POLYCAB,0.5008,True,24,-0.005,-0.0508,0.5833,1.533,-2.133,1.006,-0.134,0.1183,-0.042,0.5245,0.5833,2024-06-19 → 2026-04-10
HAVELLS,0.4704,False,7,-0.0014,-0.0479,0.5714,1.399,-1.866,1.0,-0.205,0.0478,-0.029,0.5212,0.5714,2023-12-12 → 2026-04-10
GRASIM,0.5328,True,46,-0.0081,-0.0435,0.5652,1.226,-1.6,0.996,-0.263,0.1255,-0.064,0.5105,0.5652,2024-04-04 → 2026-04-10
TECHM,0.5163,True,36,-0.0089,-0.0609,0.5278,1.449,-1.637,0.989,-0.295,0.0953,-0.094,0.506,0.5278,2024-03-20 → 2026-04-09
TATASTEEL,0.5111,True,22,-0.0071,-0.0787,0.6364,1.184,-2.109,0.983,-0.314,0.1023,-0.07,0.533,0.6364,2023-12-08 → 2026-04-09
AMBUJACEM,0.5088,True,46,-0.0451,-0.2233,0.6087,1.591,-2.582,0.958,-0.322,0.1727,-0.261,0.4883,0.6087,2024-04-30 → 2026-04-10
SHRIRAMFIN,0.5054,True,18,-0.0259,-0.307,0.6111,1.809,-3.069,0.926,-0.535,0.1209,-0.214,0.5311,0.6111,2024-05-15 → 2026-04-10
M&M,0.5238,True,74,-0.0575,-0.1827,0.5541,1.628,-2.143,0.944,-0.537,0.2226,-0.258,0.5361,0.5541,2024-05-10 → 2026-04-10
CHOLAFIN,0.5105,True,43,-0.051,-0.2641,0.3488,2.987,-1.727,0.927,-0.597,0.1707,-0.299,0.4696,0.3721,2024-04-25 → 2026-04-10
SAIL,0.5113,True,28,-0.0412,-0.3153,0.4643,2.488,-2.353,0.916,-0.689,0.2112,-0.195,0.4959,0.4643,2024-04-10 → 2026-04-10
HAL,0.5266,True,60,-0.1105,-0.3885,0.55,1.985,-2.718,0.893,-0.714,0.256,-0.432,0.5014,0.55,2024-05-03 → 2026-04-09
TORNTPHARM,0.5043,True,37,-0.0333,-0.2062,0.5405,1.498,-1.917,0.92,-0.747,0.1298,-0.257,0.5312,0.5405,2024-04-02 → 2026-04-10
KOTAKBANK,0.5503,True,46,-0.0331,-0.1685,0.5,1.282,-1.398,0.917,-0.759,0.0844,-0.393,0.4844,0.5,2024-03-04 → 2026-04-10
GODREJCP,0.4615,False,15,-0.0113,-0.1742,0.5333,1.328,-1.648,0.921,-0.788,0.0929,-0.122,0.4745,0.5333,2024-04-26 → 2026-04-10
ICICIBANK,0.5009,True,75,-0.0713,-0.22,0.4933,1.309,-1.44,0.885,-1.022,0.2227,-0.32,0.5309,0.52,2024-02-16 → 2026-04-10
BHARTIARTL,0.5523,True,45,-0.0532,-0.2636,0.6,1.005,-1.78,0.847,-1.354,0.1152,-0.462,0.5409,0.6,2024-03-14 → 2026-04-09
DLF,0.4808,False,21,-0.0531,-0.4806,0.5714,1.744,-2.841,0.818,-1.415,0.1154,-0.46,0.5097,0.619,2023-11-29 → 2026-04-09
BANDHANBNK,0.4844,False,10,-0.0597,-0.7881,0.4,3.943,-3.41,0.771,-1.432,0.1485,-0.402,0.4672,0.4,2024-05-08 → 2026-04-10
NMDC,0.5162,True,28,-0.0633,-0.4446,0.4643,1.999,-2.113,0.82,-1.492,0.1453,-0.436,0.5042,0.4643,2024-05-09 → 2026-04-10
AXISBANK,0.4894,False,16,-0.0249,-0.3273,0.4375,1.503,-1.423,0.822,-1.576,0.0621,-0.4,0.4805,0.5,2024-03-05 → 2026-04-09
FEDERALBNK,0.5146,True,36,-0.0761,-0.4256,0.4722,1.563,-1.769,0.791,-1.578,0.0778,-0.979,0.5417,0.4722,2024-02-02 → 2026-04-10
SUNPHARMA,0.4913,False,33,-0.0379,-0.2552,0.5455,0.903,-1.321,0.82,-1.581,0.086,-0.44,0.5206,0.5455,2024-03-13 → 2026-04-09
CIPLA,0.4826,False,63,-0.1176,-0.3938,0.4762,1.29,-1.518,0.772,-1.758,0.1313,-0.896,0.4936,0.5079,2024-03-21 → 2026-04-10
TATACONSUM,0.4753,False,19,-0.0335,-0.3639,0.5789,1.043,-1.828,0.785,-1.841,0.0846,-0.397,0.5151,0.5789,2024-03-22 → 2026-04-09
PERSISTENT,0.4931,False,65,-0.2037,-0.5865,0.5231,1.647,-2.462,0.733,-1.998,0.3475,-0.586,0.4972,0.5231,2024-05-17 → 2026-04-10
COLPAL,0.4983,False,40,-0.0892,-0.4447,0.525,1.294,-1.884,0.759,-2.042,0.1997,-0.446,0.4872,0.525,2024-05-23 → 2026-04-10
ONGC,0.5016,True,30,-0.0711,-0.4618,0.3667,1.933,-1.477,0.757,-2.065,0.1064,-0.669,0.4928,0.4,2024-03-28 → 2026-04-09
BAJAJFINSV,0.5092,True,8,-0.0187,-0.4488,0.375,1.994,-1.546,0.774,-2.073,0.0509,-0.368,0.5107,0.375,2024-04-19 → 2026-04-10
AUBANK,0.5085,True,25,-0.0618,-0.4746,0.4,1.786,-1.583,0.752,-2.085,0.1014,-0.61,0.5042,0.4,2024-05-07 → 2026-04-09
ABB,0.5055,True,84,-0.3076,-0.668,0.5,1.779,-2.562,0.694,-2.208,0.4252,-0.723,0.5367,0.5,2024-02-07 → 2026-04-10
ALKEM,0.5269,True,37,-0.1108,-0.5507,0.4865,1.592,-2.077,0.726,-2.262,0.191,-0.58,0.5093,0.4865,2024-04-05 → 2026-04-10
HINDUNILVR,0.5622,True,24,-0.0572,-0.461,0.5417,1.126,-1.831,0.727,-2.283,0.1,-0.572,0.4752,0.5417,2024-05-08 → 2026-04-10
TVSMOTOR,0.5273,True,22,-0.0537,-0.4689,0.5455,1.158,-1.906,0.729,-2.295,0.0702,-0.765,0.5369,0.5455,2024-04-19 → 2026-04-10
LUPIN,0.5133,True,23,-0.0472,-0.4115,0.5652,0.938,-1.675,0.727,-2.338,0.0666,-0.709,0.5335,0.5652,2024-04-03 → 2026-04-10
LT,0.5383,True,47,-0.1309,-0.5285,0.5106,1.299,-1.923,0.705,-2.361,0.1654,-0.791,0.5321,0.5106,2024-03-20 → 2026-04-09
GAIL,0.4774,False,41,-0.2082,-0.7619,0.5122,1.552,-2.661,0.613,-2.414,0.2671,-0.78,0.5038,0.5122,2024-01-11 → 2026-04-09
OFSS,0.4683,False,12,-0.0464,-0.6309,0.4167,2.169,-2.171,0.714,-2.428,0.0694,-0.667,0.4679,0.4167,2024-06-25 → 2026-04-10
MOTHERSON,0.4848,False,24,-0.0796,-0.5815,0.4167,1.686,-1.758,0.685,-2.619,0.1228,-0.648,0.514,0.4583,2024-05-14 → 2026-04-10
AUROPHARMA,0.4961,False,21,-0.0712,-0.588,0.4286,1.776,-1.907,0.698,-2.656,0.1093,-0.652,0.4971,0.4286,2024-05-10 → 2026-04-10
TCS,0.4288,False,16,-0.0362,-0.4407,0.5,1.018,-1.461,0.697,-2.921,0.0452,-0.802,0.4653,0.5,2024-04-04 → 2026-04-10
BAJAJ-AUTO,0.4913,False,19,-0.0623,-0.574,0.5789,1.044,-2.197,0.653,-2.953,0.1172,-0.532,0.5175,0.5789,2024-05-16 → 2026-04-09
COALINDIA,0.4666,False,42,-0.2131,-0.7625,0.4524,1.322,-2.059,0.531,-3.206,0.2253,-0.946,0.5269,0.4762,2024-03-20 → 2026-04-09
EXIDEIND,0.4828,False,36,-0.1489,-0.6766,0.5833,1.125,-2.589,0.608,-3.259,0.1763,-0.845,0.4819,0.5833,2024-05-08 → 2026-04-09
SHREECEM,0.4698,False,24,-0.0693,-0.5294,0.4583,1.05,-1.42,0.626,-3.403,0.1082,-0.64,0.4831,0.4583,2024-03-15 → 2026-04-09
MARUTI,0.472,False,6,-0.0169,-0.5114,0.5,0.912,-1.462,0.624,-3.65,0.0433,-0.39,0.5,0.5,2024-04-29 → 2026-04-10
LTIM,0.5194,True,17,-0.0509,-0.5387,0.3529,1.238,-1.137,0.594,-4.139,0.0732,-0.695,0.5223,0.3529,2024-03-05 → 2026-04-10
ETERNAL,0.4789,False,23,-0.1376,-0.8024,0.3043,2.303,-1.889,0.533,-4.304,0.2054,-0.67,0.4773,0.3043,2025-01-31 → 2026-04-10
GODREJPROP,0.5079,True,14,-0.1309,-0.9199,0.4286,1.722,-2.928,0.441,-4.439,0.2025,-0.646,0.512,0.4286,2024-01-03 → 2026-04-10
NESTLEIND,0.48,False,21,-0.0885,-0.6712,0.4286,1.008,-1.507,0.502,-4.771,0.1086,-0.815,0.4867,0.4286,2024-05-07 → 2026-04-10
INFY,0.4529,False,67,-0.3356,-0.7852,0.3582,1.399,-1.697,0.46,-4.815,0.3444,-0.975,0.4938,0.3881,2024-03-15 → 2026-04-10
NTPC,0.4959,False,39,-0.3284,-0.9237,0.4359,1.054,-2.529,0.322,-5.242,0.3284,-1.0,0.5167,0.4615,2024-04-19 → 2026-04-10
BERGEPAINT,0.5201,True,29,-0.1989,-0.8544,0.4483,1.34,-2.425,0.449,-5.501,0.2258,-0.881,0.4918,0.4483,2023-12-27 → 2026-04-10
DIVISLAB,0.4933,False,29,-0.1233,-0.6813,0.4828,0.634,-1.451,0.408,-5.74,0.144,-0.856,0.5041,0.4828,2023-11-17 → 2026-04-10
DRREDDY,0.5123,True,55,-0.3017,-0.807,0.4364,0.947,-1.863,0.394,-6.32,0.3017,-1.0,0.5273,0.4364,2024-04-15 → 2026-04-09
SBILIFE,0.5156,True,15,-0.0843,-0.7724,0.3333,0.853,-1.294,0.33,-8.02,0.1,-0.844,0.5079,0.3333,2024-04-10 → 2026-04-10
ITC,0.5035,True,12,-0.06,-0.7275,0.3333,0.668,-1.099,0.304,-8.525,0.0654,-0.918,0.4643,0.4167,2024-02-21 → 2026-04-10
RELIANCE,0.4923,False,37,-0.2587,-0.8699,0.3243,0.854,-1.587,0.258,-8.882,0.2587,-1.0,0.4843,0.3243,2024-03-22 → 2026-04-10
COFORGE,0.4758,False,16,-0.2827,-0.9947,0.25,0.416,-2.847,0.049,-15.203,0.2827,-1.0,0.5429,0.25,2024-04-05 → 2026-04-10
HDFCLIFE,0.4741,False,9,-0.0967,-0.9421,0.0,0.0,-1.122,0.0,-27.64,0.0967,-1.0,0.4648,0.0,2024-04-15 → 2026-04-10
BHEL,0.5136,True,105,,,0.5143,2.362,,99.0,,0.0,99.0,0.5498,0.5143,2023-12-27 → 2026-04-10
BPCL,0.4896,False,78,,,0.5,1.566,,99.0,,0.0,99.0,0.5263,0.5128,2024-04-22 → 2026-04-10
HCLTECH,0.494,False,20,,,0.55,1.553,,99.0,,0.0,99.0,0.5094,0.55,2024-04-26 → 2026-04-10
HDFCBANK,0.4908,False,15,,,0.3333,1.103,,99.0,,0.0,99.0,0.5307,0.3333,2024-03-07 → 2026-04-15
HEROMOTOCO,0.5369,True,15,,,0.5333,0.948,,99.0,,0.0,99.0,0.512,0.6,2024-05-16 → 2026-04-10
HINDALCO,0.5023,True,33,,,0.4848,1.787,,99.0,,0.0,99.0,0.5449,0.5152,2024-03-28 → 2026-04-10
PIDILITIND,0.5022,True,10,,,0.3,0.981,,99.0,,0.0,99.0,0.5246,0.3,2024-01-10 → 2026-04-10
SBIN,0.5032,True,51,,,0.549,1.449,,99.0,,0.0,99.0,0.542,0.549,2024-03-20 → 2026-04-15
