symbol,oos_accuracy,tradeable,cross_sectional_top15,sharpe_rank,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
JSWSTEEL,0.5183,False,False,,127,,,0.5039,1.49,,99.0,,0.0,99.0,0.522,0.5118,2024-04-05 → 2026-04-16
KOTAKBANK,0.551,False,False,,168,,,0.5238,1.403,,99.0,,0.0,99.0,0.4844,0.5298,2024-03-04 → 2026-04-16
LT,0.5567,False,False,,209,,,0.5263,1.255,,99.0,,0.0,99.0,0.5307,0.5359,2024-03-21 → 2026-04-16
M&M,0.4689,False,False,,213,,,0.4883,1.649,,99.0,,0.0,99.0,0.5345,0.493,2024-05-10 → 2026-04-16
MANAPPURAM,0.5359,False,False,,121,,,0.562,2.244,,99.0,,0.0,99.0,0.5042,0.5785,2024-04-05 → 2026-04-09
MARICO,0.5087,False,False,,122,,,0.4918,1.318,,99.0,,0.0,99.0,0.5079,0.5164,2024-05-06 → 2026-04-16
MOTHERSON,0.4939,False,False,,165,,,0.4727,1.973,,99.0,,0.0,99.0,0.5154,0.4848,2024-05-15 → 2026-04-16
MUTHOOTFIN,0.5459,False,False,,130,,,0.5692,1.739,,99.0,,0.0,99.0,0.5651,0.5846,2024-04-24 → 2026-04-16
NESTLEIND,0.4891,False,False,,148,,,0.4865,1.045,,99.0,,0.0,99.0,0.4833,0.4932,2024-05-08 → 2026-04-16
NTPC,0.5273,False,False,,168,,,0.5119,1.221,,99.0,,0.0,99.0,0.5182,0.5119,2024-04-19 → 2026-04-16
PERSISTENT,0.4669,False,False,,163,,,0.4601,2.279,,99.0,,0.0,99.0,0.5,0.4601,2024-05-22 → 2026-04-16
PIDILITIND,0.4873,False,False,,211,,,0.4882,1.058,,99.0,,0.0,99.0,0.5233,0.5024,2024-01-12 → 2026-04-16
RELIANCE,0.5266,False,False,,102,,,0.4314,1.096,,99.0,,0.0,99.0,0.4811,0.4412,2024-03-27 → 2026-04-16
SBILIFE,0.4957,False,False,,137,,,0.4161,1.358,,99.0,,0.0,99.0,0.5063,0.4307,2024-04-10 → 2026-04-16
SBIN,0.5389,False,False,,217,,,0.5392,1.312,,99.0,,0.0,99.0,0.5466,0.5622,2024-03-20 → 2026-04-16
SHREECEM,0.5017,False,False,,148,,,0.4865,1.18,,99.0,,0.0,99.0,0.4831,0.4865,2024-03-18 → 2026-04-16
SHRIRAMFIN,0.4807,False,False,,84,,,0.5238,2.187,,99.0,,0.0,99.0,0.5311,0.5357,2024-05-16 → 2026-04-16
SIEMENS,0.5344,False,False,,240,,,0.525,1.72,,99.0,,0.0,99.0,0.5526,0.5417,2024-02-15 → 2026-04-16
TATAELXSI,0.5215,False,False,,137,,,0.4234,2.128,,99.0,,0.0,99.0,0.4503,0.4234,2024-04-16 → 2026-04-16
TCS,0.4721,False,False,,132,,,0.4394,1.114,,99.0,,0.0,99.0,0.4653,0.4545,2024-04-09 → 2026-04-16
TECHM,0.5212,False,False,,175,,,0.5086,1.429,,99.0,,0.0,99.0,0.503,0.5143,2024-03-21 → 2026-04-16
VEDL,0.5437,False,False,,206,,,0.5874,2.006,,99.0,,0.0,99.0,0.558,0.5971,2024-05-06 → 2026-04-16
VOLTAS,0.5304,False,False,,168,,,0.5298,1.608,,99.0,,0.0,99.0,0.533,0.5298,2024-02-12 → 2026-04-16
WIPRO,0.5272,False,False,,83,,,0.4699,1.471,,99.0,,0.0,99.0,0.4969,0.4699,2024-05-08 → 2026-04-16
