symbol,oos_accuracy,tradeable,n_trades,total_return,ann_return,win_rate,avg_win_pct,avg_loss_pct,profit_factor,sharpe,max_drawdown,calmar,binary_dir_acc,up_signal_acc,date_range
BAJFINANCE,0.5521,False,40,-0.0652,-0.3462,0.525,1.424,-1.883,0.836,-1.315,0.156,-0.418,0.5061,0.525,2024-05-08 → 2026-04-16
TATASTEEL,0.5,False,37,-0.0601,-0.3446,0.5676,1.272,-2.01,0.831,-1.357,0.1864,-0.323,0.533,0.5676,2023-12-12 → 2026-04-16
ICICIBANK,0.508,False,56,-0.088,-0.3393,0.5536,1.183,-1.792,0.818,-1.405,0.1359,-0.647,0.5277,0.5714,2024-02-19 → 2026-04-16
CHOLAFIN,0.5196,False,39,-0.0764,-0.4017,0.4615,1.907,-1.966,0.831,-1.443,0.1305,-0.586,0.4669,0.5128,2024-04-29 → 2026-04-16
SIEMENS,0.5201,False,55,-0.141,-0.5016,0.5273,1.912,-2.635,0.809,-1.512,0.2745,-0.514,0.5512,0.5273,2024-02-15 → 2026-04-16
TATAPOWER,0.4972,False,47,-0.1407,-0.5564,0.5319,1.933,-2.781,0.79,-1.548,0.2855,-0.493,0.5351,0.5319,2023-11-13 → 2026-04-16
LUPIN,0.51,False,39,-0.0493,-0.2788,0.5385,1.025,-1.453,0.823,-1.56,0.0672,-0.733,0.5335,0.5641,2024-04-03 → 2026-04-10
HAVELLS,0.5094,False,23,-0.0497,-0.4278,0.3913,2.174,-1.721,0.812,-1.594,0.1474,-0.337,0.5212,0.3913,2023-12-13 → 2026-04-16
MOTHERSON,0.4909,False,38,-0.0782,-0.4172,0.4474,1.731,-1.751,0.8,-1.701,0.2115,-0.37,0.5168,0.4737,2024-05-15 → 2026-04-16
HINDALCO,0.4924,False,56,-0.1377,-0.4867,0.4821,1.606,-1.953,0.766,-1.793,0.2108,-0.653,0.5434,0.5179,2024-03-28 → 2026-04-16
HAL,0.4992,False,59,-0.2031,-0.6208,0.4746,1.801,-2.257,0.721,-1.798,0.2358,-0.861,0.5,0.4915,2024-05-03 → 2026-04-16
EXIDEIND,0.523,False,39,-0.1189,-0.5585,0.4615,1.988,-2.238,0.761,-1.837,0.2407,-0.494,0.4835,0.4615,2024-05-08 → 2026-04-16
GODREJCP,0.4599,False,11,-0.0378,-0.586,0.3636,2.239,-1.784,0.717,-2.283,0.0959,-0.394,0.4745,0.3636,2024-04-30 → 2026-04-16
ONGC,0.5127,False,23,-0.1506,-0.8328,0.4783,2.11,-3.096,0.625,-2.314,0.1982,-0.76,0.4928,0.5217,2024-04-02 → 2026-04-16
RELIANCE,0.4889,False,24,-0.0587,-0.47,0.5417,1.117,-1.838,0.718,-2.467,0.1135,-0.517,0.4811,0.5833,2024-03-27 → 2026-04-16
LTIM,0.4968,False,34,-0.0966,-0.5291,0.4412,1.333,-1.554,0.677,-2.55,0.1924,-0.502,0.5223,0.4412,2024-03-06 → 2026-04-16
CIPLA,0.4948,False,51,-0.762,-0.9992,0.4706,1.286,-4.253,0.269,-2.577,0.762,-1.0,0.4904,0.4902,2024-03-22 → 2026-04-16
BHARTIARTL,0.5575,False,46,-0.1103,-0.473,0.5652,0.988,-1.839,0.698,-2.662,0.1451,-0.76,0.5409,0.5652,2024-03-14 → 2026-04-09
POWERGRID,0.495,False,46,-0.1213,-0.5076,0.5217,1.048,-1.699,0.673,-2.68,0.1784,-0.68,0.5153,0.5217,2024-03-22 → 2026-04-16
BERGEPAINT,0.5261,False,31,-0.1218,-0.6521,0.4516,1.723,-2.136,0.664,-2.98,0.2233,-0.545,0.4918,0.4516,2023-12-28 → 2026-04-16
TORNTPHARM,0.5026,False,42,-0.1375,-0.5882,0.4762,1.348,-1.863,0.658,-3.036,0.1993,-0.69,0.5344,0.4762,2024-04-03 → 2026-04-16
ALKEM,0.5354,False,44,-0.1621,-0.6368,0.4545,1.472,-1.922,0.638,-3.099,0.2377,-0.682,0.5093,0.4545,2024-04-05 → 2026-04-10
INDUSTOWER,0.5095,False,8,-0.0354,-0.6783,0.25,3.261,-1.653,0.658,-3.2,0.0832,-0.425,0.5318,0.25,2024-04-15 → 2026-04-08
SUNPHARMA,0.5406,False,13,-0.0285,-0.429,0.4615,0.785,-1.073,0.627,-3.358,0.0353,-0.806,0.5222,0.5385,2024-03-13 → 2026-04-16
ABB,0.5124,False,82,-0.4021,-0.7941,0.5,1.664,-2.834,0.587,-3.431,0.4789,-0.84,0.5367,0.5,2024-02-08 → 2026-04-16
HDFCLIFE,0.4783,False,29,-0.1231,-0.6807,0.5517,1.062,-2.266,0.577,-3.435,0.1793,-0.687,0.4679,0.5517,2024-04-19 → 2026-04-16
CUMMINSIND,0.5418,False,54,-0.3365,-0.8526,0.463,1.82,-2.874,0.546,-3.505,0.4079,-0.825,0.5398,0.463,2024-05-15 → 2026-04-16
DRREDDY,0.5053,False,52,-0.1646,-0.5818,0.4423,1.13,-1.494,0.6,-3.71,0.1889,-0.872,0.5241,0.4808,2024-04-16 → 2026-04-16
ULTRACEMCO,0.5425,False,30,-0.1074,-0.6149,0.5333,0.87,-1.775,0.56,-3.741,0.1426,-0.753,0.5047,0.5333,2024-04-26 → 2026-04-16
SBILIFE,0.4819,False,10,-0.0524,-0.7425,0.3,2.462,-1.786,0.591,-3.754,0.0682,-0.769,0.5063,0.3,2024-04-10 → 2026-04-16
BAJAJ-AUTO,0.4784,False,34,-0.1252,-0.6289,0.4412,1.207,-1.631,0.584,-3.87,0.1902,-0.658,0.5158,0.4412,2024-05-16 → 2026-04-16
BAJAJFINSV,0.4925,False,8,-0.0295,-0.6101,0.25,2.15,-1.198,0.598,-3.884,0.0699,-0.421,0.5076,0.25,2024-04-22 → 2026-04-16
HINDUNILVR,0.5351,False,63,-0.2028,-0.5961,0.5079,0.796,-1.528,0.537,-3.963,0.2176,-0.932,0.4785,0.5079,2024-05-09 → 2026-04-16
GODREJPROP,0.5203,False,13,-0.1009,-0.8728,0.5385,1.627,-3.558,0.533,-4.077,0.1548,-0.652,0.512,0.5385,2024-01-04 → 2026-04-16
MARICO,0.5017,False,21,-0.0775,-0.6201,0.4286,1.071,-1.453,0.553,-4.078,0.1253,-0.619,0.5079,0.4762,2024-05-06 → 2026-04-16
NTPC,0.5273,False,50,-0.2929,-0.8256,0.44,1.18,-2.094,0.443,-4.08,0.2929,-1.0,0.5182,0.44,2024-04-19 → 2026-04-16
ADANIENT,0.5566,False,26,-0.1203,-0.7113,0.5,1.223,-2.169,0.564,-4.088,0.1517,-0.793,0.4692,0.5,2023-12-27 → 2026-04-16
INFY,0.5,False,17,-0.0976,-0.7816,0.3529,1.729,-1.834,0.514,-4.226,0.137,-0.712,0.4938,0.3529,2024-03-15 → 2026-04-10
PIDILITIND,0.4978,False,24,-0.0878,-0.619,0.4167,1.049,-1.386,0.541,-4.271,0.0878,-1.0,0.5246,0.4167,2024-01-12 → 2026-04-16
AXISBANK,0.5065,False,27,-0.1341,-0.7391,0.4074,1.328,-1.778,0.513,-4.388,0.1625,-0.825,0.479,0.4074,2024-03-05 → 2026-04-16
ITC,0.5186,False,17,-0.0622,-0.6139,0.3529,1.238,-1.243,0.543,-4.436,0.0625,-0.995,0.4643,0.4118,2024-02-22 → 2026-04-16
HDFCBANK,0.5259,False,40,-0.1825,-0.7191,0.35,1.286,-1.441,0.481,-4.552,0.2514,-0.726,0.5246,0.375,2024-02-27 → 2026-04-16
COALINDIA,0.4967,False,44,-0.333,-0.9017,0.3864,1.695,-2.48,0.43,-4.606,0.3602,-0.924,0.5254,0.3864,2024-03-20 → 2026-04-16
SBIN,0.5389,False,48,-0.229,-0.7447,0.4167,1.075,-1.669,0.46,-5.142,0.2616,-0.875,0.5449,0.4167,2024-03-20 → 2026-04-16
DIVISLAB,0.4903,False,34,-0.1743,-0.7582,0.4118,1.026,-1.651,0.435,-5.588,0.1743,-1.0,0.5014,0.4118,2023-11-20 → 2026-04-16
SHREECEM,0.4916,False,14,-0.0581,-0.6592,0.3571,1.08,-1.252,0.479,-5.908,0.094,-0.617,0.4831,0.3571,2024-03-18 → 2026-04-16
PERSISTENT,0.4684,False,23,-0.257,-0.9614,0.3478,1.826,-2.864,0.34,-6.365,0.257,-1.0,0.5,0.3478,2024-05-22 → 2026-04-16
TVSMOTOR,0.5,False,12,-0.0792,-0.8234,0.3333,1.43,-1.721,0.415,-6.462,0.0984,-0.805,0.5339,0.3333,2024-04-22 → 2026-04-16
MARUTI,0.4808,False,36,-0.2418,-0.8559,0.3889,1.171,-1.969,0.379,-6.507,0.2613,-0.925,0.4984,0.4167,2024-04-29 → 2026-04-16
NESTLEIND,0.4945,False,36,-0.214,-0.8147,0.3611,0.993,-1.586,0.354,-7.021,0.228,-0.939,0.4833,0.3611,2024-05-08 → 2026-04-16
MANAPPURAM,0.5038,False,6,-0.0845,-0.9754,0.3333,2.639,-3.431,0.385,-7.081,0.1309,-0.645,0.5042,0.3333,2024-04-05 → 2026-04-09
AUBANK,0.5455,False,17,-0.1378,-0.889,0.2941,1.455,-1.812,0.335,-7.485,0.1569,-0.878,0.5056,0.2941,2024-05-07 → 2026-04-16
TATACONSUM,0.4959,False,35,-0.1955,-0.7912,0.3714,0.774,-1.429,0.32,-7.502,0.2192,-0.892,0.5181,0.4,2024-03-27 → 2026-04-16
HEROMOTOCO,0.4852,False,16,-0.1207,-0.8682,0.3125,1.145,-1.668,0.312,-8.443,0.1273,-0.948,0.5105,0.3125,2024-05-16 → 2026-04-16
COFORGE,0.4894,False,29,-0.3127,-0.9615,0.3448,0.825,-2.362,0.184,-9.947,0.3127,-1.0,0.5429,0.3448,2024-04-05 → 2026-04-10
ETERNAL,0.5347,False,7,-0.0626,-0.9026,0.2857,0.923,-1.643,0.225,-10.574,0.0626,-1.0,0.4773,0.2857,2025-02-01 → 2026-04-16
INDUSINDBK,0.4829,False,7,-0.1005,-0.978,0.1429,1.651,-2.015,0.137,-16.098,0.1151,-0.873,0.4914,0.1429,2024-03-18 → 2026-04-16
HCLTECH,0.5129,False,6,-0.0486,-0.8766,0.1667,0.604,-1.11,0.109,-20.368,0.0543,-0.895,0.5094,0.1667,2024-04-29 → 2026-04-16
BPCL,0.4753,False,60,,,0.4,2.73,,99.0,,0.0,99.0,0.5292,0.4,2024-04-24 → 2026-04-16
IRFC,0.563,False,20,,,0.45,2.452,,99.0,,0.0,99.0,0.4434,0.45,2024-12-19 → 2026-04-16
JSWSTEEL,0.512,False,47,,,0.5745,1.466,,99.0,,0.0,99.0,0.5205,0.5957,2024-04-05 → 2026-04-16
KOTAKBANK,0.5425,False,33,,,0.5152,1.574,,99.0,,0.0,99.0,0.4829,0.5152,2024-03-04 → 2026-04-16
M&M,0.4787,False,20,,,0.5,1.99,,99.0,,0.0,99.0,0.5345,0.5,2024-05-10 → 2026-04-16
MUTHOOTFIN,0.5427,False,27,,,0.7778,1.763,,99.0,,0.0,99.0,0.5634,0.8148,2024-04-24 → 2026-04-16
TCS,0.4847,False,53,,,0.3774,1.277,,99.0,,0.0,99.0,0.4653,0.3962,2024-04-09 → 2026-04-16
VEDL,0.5482,False,53,,,0.6604,2.062,,99.0,,0.0,99.0,0.558,0.6604,2024-05-06 → 2026-04-16
WIPRO,0.5153,False,12,,,0.5833,1.434,,99.0,,0.0,99.0,0.4984,0.5833,2024-05-08 → 2026-04-16
